"Distance [mm]"	"Bt []"
0	-0.0010058002469589
0.214692	0.0419989352653047
0.429384	0.0848149697740474
0.644076	0.146216410173375
0.858768	0.214714373274261
1.07346	0.205433645231651
1.288152	0.132064862481867
1.502844	0.0744273884165208
1.717536	0.0527534159034779
1.932228	0.0364536885969129
2.14692	0.0296717050445551
2.361612	0.0227999082727429
2.576304	0.0212835346709014
2.790996	0.0223335243441222
3.005688	0.0303628596750501
3.22038	0.0392005368900861
3.435072	0.0441544351249852
3.649764	0.0493752898305925
3.864456	0.0525954212875424
4.079148	0.0557591527464652
4.29384	0.0531099992483748
4.508532	0.0505126657408673
4.723224	0.0516138656001457
4.937916	0.053938383619448
5.152608	0.0577307384518941
5.3673	0.0558098274348704
5.581992	0.0672682751394215
5.796684	0.0856270391379879
6.011376	0.100057605967021
6.226068	0.114480473278847
6.44076	0.141540215701085
6.655452	0.179676918720089
6.870144	0.22688998845344
7.084836	0.289829146419489
7.299528	0.317193985043647
7.51422	0.285629035712302
7.728912	0.329594673786261
7.943604	0.329401126220833
8.158296	0.323671877750868
8.372988	0.257337408255692
8.58768	0.194180373005332
8.802372	0.149039426454697
9.017064	0.137650018511385
9.231756	0.127298741087027
9.446448	0.117988238643565
9.66114	0.0774982968073225
9.875832	0.0759063767991185
10.090524	0.074623754972958
10.305216	0.0736518258545514
10.519908	0.0610625370959401
10.7346	0.0572753058908924
10.949292	0.0533985302568673
11.163984	0.0495466128730113
11.378676	0.045073926787262
11.593368	0.034720088379142
11.80806	0.0282383676953441
12.022752	0.0284694483274532
12.237444	0.0313687852667841
12.452136	0.041674737431812
12.666828	0.0626916613002773
12.88152	0.0932591406504709
13.096212	0.160198820474114
13.310904	0.229361487348173
13.525596	0.212639638708181
13.740288	0.134517284614422
13.95498	0.0746123756778702
14.169672	0.0323216198914878
14.384364	-0.0121636436033738
14.599056	-0.0661453168246433
14.813748	-0.119599147668791
15.02844	-0.101077465133947
15.243132	-0.0752546077967162
15.457824	-0.0469486914528521
15.672516	-0.0161628949932958
15.887208	-0.0684721595906445
16.1019	-0.0452639507486538
16.316592	-0.0293511663328294
16.531284	-0.0221315902820332
16.745976	-0.0157893541618019
16.960668	-0.0162767048409178
