"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
0	0	0.668646631108103
0.214692	0.359906413994167	0.682145446187916
0.429384	0.719812827988334	0.696508427460454
0.644076	1.0797192419825	0.752003671404817
0.858768	1.43962565597667	0.7998539070099
1.07346	1.79953206997083	0.912660403826241
1.288152	2.159438483965	0.920855093675052
1.502844	2.51934489795917	0.926299006860121
1.717536	2.87925131195334	0.929270469995108
1.932228	3.2391577259475	0.917493017740376
2.14692	3.59906413994167	0.910041852326744
2.361612	3.95897055393584	0.901140960222607
2.576304	4.31887696793	0.883550614790253
2.790996	4.67878338192417	0.872032889202008
3.005688	5.03868979591834	0.872062434949461
3.22038	5.3985962099125	0.872235497266559
3.435072	5.75850262390667	0.872525001650497
3.649764	6.11840903790084	0.878152350684272
3.864456	6.47831545189501	0.872874761034361
4.079148	6.83822186588917	0.867761119857401
4.29384	7.19812827988334	0.867173508481422
4.508532	7.55803469387751	0.866605558213416
4.723224	7.91794110787167	0.853899659267139
4.937916	8.27784752186584	0.849523840607699
5.152608	8.63775393586001	0.831906069879564
5.3673	8.99766034985417	0.818777302715129
5.581992	9.35756676384834	0.790653806633542
5.796684	9.71747317784251	0.76662972052887
6.011376	10.0773795918367	0.731061382831389
6.226068	10.4372860058308	0.6886430447376
6.44076	10.797192419825	0.642094250555682
6.655452	11.1570988338192	0.554516506887897
6.870144	11.5170052478133	0.469751905745103
7.084836	11.8769116618075	0.389284817545326
7.299528	12.2368180758017	0.173312354530799
7.51422	12.5967244897958	0.111391375100993
7.728912	12.95663090379	-0.0417984197869
7.943604	13.3165373177842	-0.166767988857853
8.158296	13.6764437317783	-0.365600461057383
8.372988	14.0363501457725	-0.443551251651807
8.58768	14.3962565597667	-0.523178728024446
8.802372	14.7561629737608	-0.612828367225505
9.017064	15.116069387755	-0.665290357244226
9.231756	15.4759758017492	-0.718009196607554
9.446448	15.8358822157433	-0.770975680742024
9.66114	16.1957886297375	-0.78382382830236
9.875832	16.5556950437317	-0.800594811548865
10.090524	16.9156014577258	-0.817455521602956
10.305216	17.27550787172	-0.834403438624837
10.519908	17.6354142857142	-0.835312368042973
10.7346	17.9953206997083	-0.843021301108423
