"$alfa_R [deg]"	"Torque1.Torque [mNewtonMeter]"
0	0.253523365189999
1	-61.3320911094073
2	-92.4087443538273
3	-68.8518411716
4	-71.0058607296962
5	78.7152428208455
6	70.1100172275455
7	65.333967931862
8	5.86076907262833
9	15.6099450290057
10	-95.1282301335584
11	-72.1368190133557
12	-56.2500326278524
13	29.3127388565935
14	31.7116733410184
15	79.7292919600898
16	9.84929396552992
17	-40.3039278937797
18	-38.8061661460306
19	-88.2317304328446
20	-69.9194440984935
21	-84.2078234446188
22	82.5536971094024
23	74.008683124701
24	81.0066760428136
25	18.1851385769147
26	30.55287824649
27	-35.8922340813469
28	-68.4483420777846
29	-48.3473215760076
30	0.186774869771754
31	63.0213541530829
32	69.4918507787611
33	29.8265082370998
34	-35.4423072339792
35	-18.5400048857884
36	-91.0019895420165
37	-80.9094861284622
38	-87.9999179393857
39	76.9239552116961
40	62.6733934923553
41	90.9692027472578
42	55.2184555946358
43	49.0081539097365
44	-18.6461675952738
45	-79.8007912032496
46	-32.3240244163162
47	-45.4444414978145
48	62.1373286217668
49	53.9630867419259
50	52.0704539050976
51	-4.95849105737038
52	-12.2777287801872
53	-71.7109421586364
54	-63.2360659902958
55	-87.7524481101858
56	67.4861276659712
57	64.4468507257856
58	96.4656533463101
59	66.0120127691904
60	-0.0420097083599933
61	-63.1703901755896
62	-90.6718399814277
63	-66.4347401488101
64	-45.3603501685063
65	74.1403965670106
66	72.6969937783675
67	66.4554397777674
68	32.2124031291231
69	16.1760396709675
70	-41.1978814166663
71	-76.4615952316704
72	-67.3111525629379
73	42.8536336301515
74	42.0887429197931
75	76.4356261872787
76	22.2403992998308
77	-44.5822104671892
78	-49.9694897141299
79	-74.9229586190669
80	-76.4365929015312
81	-71.3645612085875
82	62.6803735546409
83	66.2546310708218
84	76.900511743502
85	19.2028631537094
86	35.4714427973571
87	-17.5458438080666
88	-66.0555947703341
89	-67.4632146086354
90	-1.6497302701902
91	56.5921746670974
92	77.1214134337952
93	31.0982310841174
94	-17.6965962289306
95	-22.8366673881754
96	-84.9014937851977
97	-68.4029056995416
98	-82.5626687465989
99	82.3054248934811
100	80.2967869967035
101	88.6872880770777
102	50.7302605381661
103	43.9306729404941
104	-35.8328513047031
105	-69.2804647237013
106	-43.434518990597
107	-15.7195003658669
108	52.6012265062488
109	48.4001991903505
110	94.400303376727
111	-15.6521008778369
112	-23.854859197616
113	-64.8062790639445
114	-70.1829378609127
115	-68.4658655328834
116	51.1317501025371
117	74.1327426898039
118	101.424299691478
119	43.8981622531251
120	-0.339298739077305
121	-63.6383499571185
122	-92.7869221570257
123	-67.5663152130121
124	-40.2421535979024
125	70.8408276590234
126	63.6152182207153
127	63.7371561190721
128	27.0456157945603
129	11.9797673280288
130	-116.889731538081
131	-51.4758257515879
132	-53.5536149390115
133	16.0242938611716
134	47.3852858035803
135	97.5659713000339
136	24.0375557496242
137	18.7951301161598
138	-56.6613714843735
139	-84.8277559682451
140	-61.9966906129449
141	-66.2918211435541
142	93.7285705344047
