"Distance [mm]"	"Flux_Lines []"
0	1.37635725909244E-06
0.214692	0.000146360548350886
0.429384	0.000294335595301934
0.644076	0.000450765051336183
0.858768	0.000617323447212287
1.07346	0.000804064352698056
1.288152	0.0010009057159239
1.502844	0.00119932690298234
1.717536	0.00139851741678581
1.932228	0.00159720269279495
2.14692	0.00179337873232678
2.361612	0.00198800656523397
2.576304	0.00217958182407645
2.790996	0.00236758632251021
3.005688	0.00255480060991298
3.22038	0.00274203947140435
3.435072	0.00292932629774882
3.649764	0.00311675375685786
3.864456	0.00330471386333157
4.079148	0.00349155434903933
4.29384	0.00367778904343826
4.508532	0.0038638996792433
4.723224	0.00404793613420211
4.937916	0.00423078660112203
5.152608	0.00441100876076463
5.3673	0.00458819927151606
5.581992	0.00476092500699652
5.796684	0.00492808326660055
6.011376	0.00508933250599516
6.226068	0.005241723067305
6.44076	0.00538582672135576
6.655452	0.00551426167797984
6.870144	0.00562406393617767
7.084836	0.00571625613828119
7.299528	0.00578159715538376
7.51422	0.00581216936695923
7.728912	0.00582494957829892
7.943604	0.00580256049813446
8.158296	0.00575172590510764
8.372988	0.00566489005378655
8.58768	0.00556117959085069
8.802372	0.00543564106966574
9.017064	0.00529844773488369
9.231756	0.0051499628613347
9.446448	0.00499013285175067
9.66114	0.00482377238625178
9.875832	0.0046536962392269
10.090524	0.00448000961929235
10.305216	0.00430269363111945
10.519908	0.00412357553308258
10.7346	0.00394341885046717
10.949292	0.00376224342431876
11.163984	0.00357961829405384
11.378676	0.00339481517127989
11.593368	0.00320918595522792
11.80806	0.00302287521655966
12.022752	0.00283281596124362
12.237444	0.00263846904747567
12.452136	0.00244322400262835
12.666828	0.00224629569821166
12.88152	0.00204809532341937
13.096212	0.00185193305561472
13.310904	0.00165871212424637
13.525596	0.00147872743855414
13.740288	0.00131724473021058
13.95498	0.00116186241049235
14.169672	0.00101534812214803
14.384364	0.000872871399581536
14.599056	0.00072966983821583
14.813748	0.00057732144304554
15.02844	0.000417615826015955
15.243132	0.000245757686566857
15.457824	6.00632162177251E-05
15.672516	-0.000139367715166903
15.887208	-0.00034185062802162
16.1019	-0.000540219278438257
16.316592	-0.000739065462668716
16.531284	-0.000935118618966175
16.745976	-0.00112790671051416
16.960668	-0.00131998793806975
17.17536	-0.00151166719149117
