"$Nsyn [rpm]"	"rms(FL_a) [Wb]"
10	0.356680098539834
67.4358974358974	0.384359429087298
124.871794871795	0.323890138157812
182.307692307692	0.342215280830848
239.74358974359	0.313080569008113
297.179487179487	0.319088191741174
354.615384615385	0.308700601975364
412.051282051282	0.316538811499736
469.48717948718	0.311766220250764
526.923076923077	0.312823797401394
584.358974358974	0.3031473247236
641.794871794872	0.301164891824015
699.230769230769	0.293490864432538
756.666666666667	0.288502467405375
814.102564102564	0.283458382018598
871.538461538462	0.280983802469808
928.974358974359	0.278990797489501
986.410256410256	0.269509250211611
1043.84615384615	0.260570080388832
1101.28205128205	0.242712470091431
1158.71794871795	0.232397936267281
1216.15384615385	0.215437188198658
1273.58974358974	0.208170148672752
1331.02564102564	0.196535571547375
1388.46153846154	0.193361039000616
1445.89743589744	0.186177956270767
1503.33333333333	0.18512395888648
1560.76923076923	0.178955315083233
1618.20512820513	0.17712755623699
1675.64102564103	0.171833958165173
