"$Nsyn [rpm]"	"avg(efficiency) []"
10	0.00251925039975315
67.4358974358974	0.0179069676516548
124.871794871795	0.0400448935731213
182.307692307692	0.0646645905705673
239.74358974359	0.0930946228904931
297.179487179487	0.126548215144631
354.615384615385	0.151605859732475
412.051282051282	0.186569584503465
469.48717948718	0.217551476722239
526.923076923077	0.257757015151777
584.358974358974	0.295667572538837
641.794871794872	0.331653343924838
699.230769230769	0.371203710596542
756.666666666667	0.405384882344336
814.102564102564	0.454967377623888
871.538461538462	0.502074985751755
928.974358974359	0.551822269743392
986.410256410256	0.611759998536367
1043.84615384615	0.670300253965971
1101.28205128205	0.728864948280857
1158.71794871795	0.776887364933557
1216.15384615385	0.815151063504002
1273.58974358974	0.845016958521182
1331.02564102564	0.867268412487902
1388.46153846154	0.883934910070261
1445.89743589744	0.89243876140087
1503.33333333333	0.894319268475163
1560.76923076923	0.88263078920852
1618.20512820513	0.829131968218712
1675.64102564103	0.33474315745311
