"$Nsyn [rpm]"	"avg(P_out) [kW]"
10	0.0306128017860717
67.4358974358974	0.190636870871525
124.871794871795	0.341989388394767
182.307692307692	0.483669281600915
239.74358974359	0.623916974704648
297.179487179487	0.747912033821339
354.615384615385	0.877457787952106
412.051282051282	0.983915175232735
469.48717948718	1.08562801331041
526.923076923077	1.17535543240454
584.358974358974	1.25357784388081
641.794871794872	1.33083493811788
699.230769230769	1.38771833701582
756.666666666667	1.4298861552124
814.102564102564	1.47245269478093
871.538461538462	1.49511242484604
928.974358974359	1.49527374411131
986.410256410256	1.45151220372868
1043.84615384615	1.37944517989846
1101.28205128205	1.26152546640693
1158.71794871795	1.11615292732998
1216.15384615385	0.967684719029211
1273.58974358974	0.8233442294084
1331.02564102564	0.688866657931943
1388.46153846154	0.562558699933914
1445.89743589744	0.448533921125607
1503.33333333333	0.334225840786179
1560.76923076923	0.23173305558141
1618.20512820513	0.116920437366434
1675.64102564103	0.0164309389855751
