"$Nsyn [rpm]"	"rms(BranchCurrent(Vi_a)) [A]"
10	24.351115387655
67.4358974358974	23.6620506270675
124.871794871795	17.4201644581623
182.307692307692	18.8605696280239
239.74358974359	16.1045376460489
297.179487179487	15.8845537243726
354.615384615385	15.1790827964934
412.051282051282	14.9032478240834
469.48717948718	14.162231546821
526.923076923077	13.2060091912341
584.358974358974	11.9469135488745
641.794871794872	11.0496611086505
699.230769230769	10.1004366117438
756.666666666667	9.00075643666098
814.102564102564	8.15763150423855
871.538461538462	7.46143276453407
928.974358974359	6.67613988852583
986.410256410256	5.58607745683636
1043.84615384615	4.65951211410399
1101.28205128205	3.6721813892459
1158.71794871795	3.04348119943008
1216.15384615385	2.4105926565825
1273.58974358974	1.94233744363107
1331.02564102564	1.53482649154355
1388.46153846154	1.18218827760868
1445.89743589744	0.902045820958706
1503.33333333333	0.636100110592192
1560.76923076923	0.433345548104902
1618.20512820513	0.209540469461781
1675.64102564103	0.0430346325597052
