"$Nsyn [rpm]"	"avg(BEMF) [V]"
10	0.829161179799225
67.4358974358974	26.5900097709817
124.871794871795	72.9708577028972
182.307692307692	110.18252731818
239.74358974359	142.881084328236
297.179487179487	182.447161977347
354.615384615385	197.141889909766
412.051282051282	233.597146637854
469.48717948718	261.434927963098
526.923076923077	294.200120011186
584.358974358974	324.973274471044
641.794871794872	344.808013982301
699.230769230769	374.679413042611
756.666666666667	398.883644946698
814.102564102564	423.161489339877
871.538461538462	443.776035299154
928.974358974359	458.266243482023
986.410256410256	467.554532540223
1043.84615384615	470.518266222356
1101.28205128205	467.0086079581
1158.71794871795	467.698997175915
1216.15384615385	468.617460764197
1273.58974358974	471.590187001298
1331.02564102564	473.973909489344
1388.46153846154	477.562619203251
1445.89743589744	481.891645064813
1503.33333333333	485.686575592205
1560.76923076923	492.242455718485
1618.20512820513	494.626153204241
1675.64102564103	499.207423404127
