"$Nsyn [rpm]"	"avg(Moving1.Torque) [NewtonMeter]"
10	29.2330723568742
67.4358974358974	26.9952367997614
124.871794871795	26.1528882661853
182.307692307692	25.334649135453
239.74358974359	24.8514183113856
297.179487179487	24.0327281624293
354.615384615385	23.6287116181138
412.051282051282	22.8022535848238
469.48717948718	22.0815058080329
526.923076923077	21.3006757702969
584.358974358974	20.4853303354814
641.794871794872	19.8015566794889
699.230769230769	18.951874775045
756.666666666667	18.045471779264
814.102564102564	17.2716413270386
871.538461538462	16.3816889369849
928.974358974359	15.3705129975978
986.410256410256	14.0518820042894
1043.84615384615	12.6194181946942
1101.28205128205	10.9387788667528
1158.71794871795	9.19850715150849
1216.15384615385	7.59830543849664
1273.58974358974	6.17338375891063
1331.02564102564	4.94219782227099
1388.46153846154	3.86905918789968
1445.89743589744	2.96230101468667
1503.33333333333	2.12302994248997
1560.76923076923	1.41781861968382
1618.20512820513	0.689966873704359
1675.64102564103	0.0936381403598736
