"$Nsyn [rpm]"	"avg(BranchCurrent(Vi_t)) [A]"
10	24.3522371316485
67.4358974358974	23.4125384858285
124.871794871795	21.6476933890916
182.307692307692	20.2727235844463
239.74358974359	18.9644293361823
297.179487179487	17.4204191009863
354.615384615385	16.7924426661035
412.051282051282	15.3262927438367
469.48717948718	14.2141052153889
526.923076923077	12.8021237840519
584.358974358974	11.508793342321
641.794871794872	10.6097160489048
699.230769230769	9.43434948560854
756.666666666667	8.53116679834224
814.102564102564	7.48449696426111
871.538461538462	6.59565749496546
928.974358974359	5.88823639487683
986.410256410256	5.00761303201164
1043.84615384615	4.27140513507295
1101.28205128205	3.56210540892703
1158.71794871795	2.92334240574853
1216.15384615385	2.42288026991605
1273.58974358974	1.9725407137241
1331.02564102564	1.59708165219544
1388.46153846154	1.2731170759202
1445.89743589744	0.995451247048784
1503.33333333333	0.732046542986555
1560.76923076923	0.504479046594802
1618.20512820513	0.253901371437907
1675.64102564103	0.0378497781992562
