"Time [ms]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
0	-0	0.0002569366491778
0.1142	-0	0.000255574955315846
0.2284	-0	1.96548422774813
0.3426	-0	3.69384594759665
0.4568	-0	5.34624164933171
0.571	-0	6.94005853592134
0.6852	-0	8.47847472863475
0.7994	-0	9.95492991447004
0.9136	-0	11.3782657133994
1.0278	-0	12.7439932433724
1.142	-0	14.0537020433064
1.2562	-0	15.3098643099314
1.3704	-0	16.5179758335812
1.4846	-0	17.6662626475615
1.5988	-0	18.7533962355873
1.713	-0	19.7772253642386
1.8272	-0	20.7382249493819
1.9414	-0	21.6336960947119
2.0556	-0	22.5080239144885
2.1698	-0	23.457540619509
2.284	-0	24.3914266034094
2.3982	-0	25.2557756741924
2.5124	-0	26.0353199520387
2.6266	-0	26.69313602537
2.7408	-0	27.2207710790231
2.855	-0	27.628260284296
2.9692	-0	27.8403903800326
3.0834	-0	28.0073276060726
3.1976	-0	27.9972987993255
3.3118	-0	27.898379157912
3.426	-0	27.6967653759854
3.5402	-0	27.3342723342392
3.6544	-0	26.9601632943114
3.7686	-0	26.4310116805099
3.8828	-0	25.7814005667602
3.997	-0	24.9720224240614
4.1112	-0	24.142413038624
4.2254	-0	23.1704910299474
4.3396	-0	22.0835473457289
4.4538	-0	20.8866464276177
4.568	-0	19.0046971402802
4.6822	-0	17.5747641866727
4.7964	-0	16.4870370818731
4.9106	-0	15.8271143624049
5.0248	-0	15.605516354071
5.139	-0	15.5658947427386
5.2532	-0	15.7045229388326
5.3674	-0	15.9324580485091
5.4816	-0	16.187569478224
5.5958	-0	16.4111196185497
5.71	-0	16.591298827438
5.8242	-0	16.6966613030087
5.9384	-0	16.6639494654932
6.0526	-0	16.3216526977035
6.1668	-0	14.7872680901246
6.281	-0	13.4986605095075
6.3952	-0	12.5973005198211
6.5094	-0	12.129875863462
6.6236	-0	11.8850986170311
6.7378	-0	11.8308540643673
6.852	-0	11.8173418010101
6.9662	-0	11.7449613950586
7.0804	-0	11.5583457327103
7.1946	-0	11.2573427253129
7.3088	-0	10.168954176014
7.423	-0	9.19686154199374
7.5372	-0	8.42226148652937
7.6514	-0	7.98870263265746
7.7656	-0	7.88387544426959
7.8798	-0	7.95951917003552
7.994	-0	8.15071113277239
8.1082	-0	8.32981646428131
8.2224	-0	8.4286354148275
8.3366	-0	8.36107299034749
8.4508	-0	7.23693912296764
8.565	-0	6.44828688163713
8.6792	-0	6.03600193265893
8.79340000000001	-0	5.97982972345582
8.90760000000001	-0	6.21243730761271
9.02180000000001	-0	6.37339760660933
9.13600000000001	-0	6.49195889867107
9.25020000000001	-0	6.58247740775672
9.36440000000001	-0	6.62553211349978
9.47860000000001	-0	6.60405718798405
9.59280000000001	-0	5.65048179056041
9.70700000000001	-0	5.09559264841754
9.82120000000001	-0	4.92545809740821
9.93540000000001	-0	5.0980524631511
10.0496	-0	5.21515433320093
10.1638	-0	5.30518203861875
10.278	-0	5.37967993683854
10.3922	-0	5.41420424660583
10.5064	-0	5.3845484325668
10.6206	-0	4.51338747439931
10.7348	-0	4.06215537584486
10.849	-0	3.99922836481592
10.9632	-0	4.13862886279625
11.0774	-0	4.20893187337747
11.1916	-0	4.29119177537348
11.3058	-0	4.3529789579962
11.42	-0	4.39215815520333
11.5342	-0	3.51001049510994
11.6484	-0	3.08586951184109
11.7626	-0	3.11376744629277
11.8768	-0	3.22509041783405
11.991	-0	3.30599744813271
12.1052	-0	3.36889743629651
12.2194	-0	3.44499340994424
12.3336	-0	3.51736965839382
12.4478	-0	3.5691073868463
12.562	-0	2.83338881097249
12.6762	-0	2.54102977913037
12.7904	-0	2.6391732980768
12.9046	-0	2.71232820710658
13.0188	-0	2.76743367099193
13.133	-0	2.83171186311953
13.2472	-0	2.91028510053034
13.3614	-0	2.98505583782522
13.4756	-0	2.26607976346366
13.5898	-0	2.06795152683847
13.704	-0	2.15381119147459
13.8182	-0	2.21936580784027
13.9324	-0	2.26794071140567
14.0466	-0	2.33021510484624
14.1608	-0	2.41375943241723
14.275	-0	2.51412264484481
14.3892	-0	1.79800277921723
14.5034	-0	1.71716049570958
14.6176	-0	1.781531087482
14.7318	-0	1.83474665802127
14.846	-0	1.879605745222
14.9602	-0	1.93774686242886
15.0744	-0	2.03065839333577
15.1886	-0	2.150234802736
15.3028	-0	1.45215243557594
15.417	-0	1.45400042044511
15.5312	-0	1.50979742911223
15.6454	-0	1.55038336145645
15.7596	-0	1.58493475504325
15.8738	-0	1.64368783885403
15.988	-0	1.73826357534384
16.1022	-0	1.87964445815419
16.2164	-0	1.19768657012979
16.3306	-0	1.36997623527909
16.4448	-0	1.30499098140391
16.559	-0	1.3344377372857
16.6732	-0	1.36629984918342
16.7874	-0	1.40915192572779
16.9016	-0	1.52712317855025
17.0158	-0	1.67775485403707
17.13	-0	1.03077835011556
17.2442	-0	1.21086170623028
17.3584	-0	1.15092585610989
17.4726	-0	1.17048772170186
17.5868	-0	1.19561785973514
17.701	-0	1.26320116877699
17.8152	-0	1.37200121542134
17.9294	-0	1.54078505291098
18.0436	-0	0.92864071220112
18.1578	-0	1.08002535329562
18.272	-0	1.03653108211687
18.3862	-0	1.04471865098928
18.5004	-0	1.07318479923122
18.6146	-0	1.14328406276119
18.7288	-0	1.26158713606757
18.843	-0	1.44516150964087
18.9572	-0	0.872322991190014
19.0714	-0	1.00237224244699
19.1856	-0	0.955608510029868
19.2998	-0	0.959000641506854
19.414	-0	0.990095466789957
19.5282	-0	1.0509434626018
19.6424	-0	1.1998153491189
19.7566	-0	1.39291331116738
19.8707999999999	-0	0.87357685772885
19.9849999999999	-0	0.937476808336336
20.0991999999999	-0	0.902676755112705
