"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
0.1142	2.92622482703896E-11	4.69126151505028E-11	-7.61748634208924E-11
0.2284	0.718715557040049	-0.718760272175234	4.47151351852249E-05
0.3426	1.361174666071	-1.36121668454328	4.20184722755845E-05
0.4568	1.98625857630709	-1.98629566139952	3.70850924271693E-05
0.571	2.60297104820542	-2.60300190848108	3.08602756593501E-05
0.6852	3.21028724648703	-3.2103140489271	2.6802440073137E-05
0.7994	3.81268836325178	-3.81270974512777	2.13818759973172E-05
0.9136	4.40247523435754	-4.40249547280618	2.02384486405194E-05
1.0278	4.98269240266869	-4.98271545695767	2.30542889738672E-05
1.142	5.55710254705433	-5.55713228190307	2.97348487361404E-05
1.2562	6.12703355479685	-6.1270704289501	3.68741532437156E-05
1.3704	6.69395831716229	-6.69400364520845	4.53280461574224E-05
1.4846	7.28766426295749	-7.28773839426114	7.41313036449753E-05
1.5988	7.89993438858144	-7.9000310608191	9.66722376549711E-05
1.713	8.5360946212018	-8.53621100163756	0.000116380435752461
1.8272	9.21273167474491	-9.212870619725	0.000138944980090372
1.9414	9.94306540249013	-9.94321692049161	0.000151518001471729
2.0556	10.7784608786789	-10.7786189733939	0.000158094715031254
2.1698	11.8289456902672	-11.8290799864471	0.00013429617991001
2.284	13.1921900108621	-13.1922908815891	0.000100870727004931
2.3982	14.6898267793387	-14.6898995022092	7.27228705024174E-05
2.5124	16.1218334637444	-16.1218831668048	4.97030603980875E-05
2.6266	17.481717986105	-17.481738170151	2.01840460185565E-05
2.7408	18.7483127326733	-18.7483078627752	-4.86989809900251E-06
2.855	19.7939295364838	-19.7939196526471	-9.88383671440829E-06
2.9692	20.6101086540621	-20.6101034119201	-5.24214202357598E-06
3.0834	21.286379691053	-21.286374416548	-5.27450499987481E-06
3.1976	21.7760806185128	-21.7760876604694	7.04195664980034E-06
3.3118	22.1399033401778	-22.1399216008702	1.82606923324613E-05
3.426	22.4020861283152	-22.4021190805593	3.2952244072959E-05
3.5402	22.5764843018893	-22.5765379081111	5.36062218614575E-05
3.6544	22.7400836195518	-22.7401466072737	6.29877219324726E-05
3.7686	22.837620543837	-22.8377062696614	8.57258244160164E-05
3.8828	22.8994219914716	-22.8995296008313	0.000107609359719873
3.997	22.9338538147218	-22.9339844343406	0.000130619618779804
4.1112	22.9747102322897	-22.9748565885944	0.000146356304714601
4.2254	22.9938085488318	-22.9939793630961	0.000170814264329522
4.3396	23.0132932270013	-23.0134836760109	0.00019044900962939
4.4538	23.0357545597785	-23.0359648231317	0.000210263353132234
4.568	17.0906099747324	-15.9951198819156	-1.09549009281685
4.6822	13.1105227817649	-10.9921518539865	-2.11837092777836
4.7964	10.4769161762405	-7.32738062028409	-3.14953555595644
4.9106	8.89206636217647	-4.78367435361392	-4.10839200856255
5.0248	8.09653249076947	-3.23350093143726	-4.86303155933221
5.139	7.78683931265744	-2.2809172869228	-5.50592202573464
5.2532	7.79436655433957	-1.70717237500437	-6.0871941793352
5.3674	7.96093332884146	-1.29708052004799	-6.66385280879346
5.4816	8.27154526257035	-1.01274888938238	-7.25879637318797
5.5958	8.72934082073164	-0.816855280213884	-7.91248554051776
5.71	9.49123246688302	-0.670173550277542	-8.82105891660548
5.8242	10.6960559555671	-0.547027347125613	-10.1490286084415
5.9384	12.3756346004072	-0.41402610467674	-11.9616084957305
6.0526	14.1377652647055	-0.248076705383478	-13.889688559322
6.1668	9.93790099775392	0.842441125398062	-10.780342123152
6.281	6.88184020850873	1.82251445607337	-8.7043546645821
6.3952	4.65529997863534	2.72120271011375	-7.3765026887491
6.5094	3.2503209289904	3.41098821174261	-6.661309140733
6.6236	2.37132096817571	3.96732375957304	-6.33864472774875
6.7378	1.86805433563535	4.44653120161173	-6.31458553724708
6.852	1.55591737030071	4.90163578893682	-6.45755315923753
6.9662	1.41225438681649	5.38078942267021	-6.79304380948671
