"Time [ms]"	"BranchCurrent(Vi_t) [A]"
0.1142	0.000755643478368305
0.2284	0.719996851854758
0.3426	1.36245457811786
0.4568	1.9875359994393
0.571	2.60424534229999
0.6852	3.21155949825184
0.7994	3.81395789330884
0.9136	4.40374418280807
1.0278	4.98396275023763
1.142	5.55837622690224
1.2562	6.12831079692084
1.3704	6.69523977935657
1.4846	7.28896012008119
1.5988	7.90124150970435
1.713	8.53741159003946
1.8272	9.21405991944154
1.9414	9.94439992698768
2.0556	10.7797986840663
2.1698	11.8302715868688
2.284	13.1934991830786
2.3982	14.6911218657436
2.5124	16.1231170294748
2.6266	17.4829867824863
2.7408	18.7495689933039
2.855	19.7951832831117
2.9692	20.6113647161236
3.0834	21.2876357325197
3.1976	21.777342815034
3.3118	22.1411711437498
3.426	22.4033612760241
3.5402	22.5777697755579
3.6544	22.7413737830073
3.7686	22.8389220758784
3.8828	22.9007344651153
3.997	22.9351777935694
4.1112	22.9760420794775
4.2254	22.9951526252934
4.3396	23.0146471211393
4.4538	23.0371183614238
4.568	1.09700229913013
4.6822	2.11988312096845
4.7964	3.15104773735784
4.9106	4.10990417782901
5.0248	4.86454371739075
5.139	5.50743417137045
5.2532	6.08870631325424
5.3674	6.66536493058232
5.4816	7.26030848345223
5.5958	7.91399763921525
5.71	8.82257100162752
5.8242	10.1505406761922
5.9384	11.9631205410336
6.0526	13.8912005766216
6.1668	0.843953346456294
6.281	1.82402666116629
6.3952	2.72271489985337
6.5094	3.41250038950075
6.6236	3.96883592581468
6.7378	4.44804335772376
6.852	4.90314793555025
6.9662	5.38230156134623
7.0804	5.91209421933572
7.1946	6.51542683081188
7.3088	-0.235816246883532
7.423	0.686280790392515
7.5372	1.37093924201363
7.6514	1.90554310818517
7.7656	2.32597842695806
7.8798	2.67519121981282
7.994	2.98498966497865
8.1082	3.27987837066198
8.2224	3.58414179206599
8.3366	3.9414594519796
8.4508	0.438687747054063
8.565	0.998887682304437
8.6792	1.4583489053919
8.79340000000001	1.83510537756213
8.90760000000001	2.18375375345112
9.02180000000001	2.2958794213294
9.13600000000001	2.42916985929627
9.25020000000001	2.593043416089
9.36440000000001	2.81141919330779
9.47860000000001	3.11285977088381
9.59280000000001	0.602345582546339
9.70700000000001	1.05657633634599
9.82120000000001	1.42411609918438
9.93540000000001	1.77741188040951
10.0496	1.85956787559859
10.1638	1.9642536650953
10.278	2.09761516946445
10.3922	2.27506189397824
10.5064	2.52100491926991
10.6206	0.534395559733372
10.7348	0.943287569365274
10.849	1.26016257752399
10.9632	1.44184362579267
11.0774	1.50633422745294
11.1916	1.59797373389605
11.3058	1.72008721799803
11.42	1.89013636195926
11.5342	0.513941014408709
11.6484	0.901531319328216
11.7626	1.07221992690782
11.8768	1.11524052823781
11.991	1.15947953729532
12.1052	1.22244513041036
12.2194	1.31253876239262
12.3336	1.44093533792698
12.4478	1.62670282573163
12.562	0.46252767074458
12.6762	0.874560981601965
12.7904	0.909172820276651
12.9046	0.94285317655184
13.0188	0.987759038489815
13.133	1.05705533716387
13.2472	1.16057079307784
13.3614	1.31497493116438
13.4756	0.452554119289936
13.5898	0.713811964350925
13.704	0.740680934945826
13.8182	0.768694656808332
13.9324	0.802763941265589
14.0466	0.85931819247116
14.1608	0.948175412716757
14.275	1.0840993565009
14.3892	0.437605348932803
14.5034	0.592522096529441
14.6176	0.613133011491961
14.7318	0.635075091422955
14.846	0.66276335295512
14.9602	0.711731672450084
15.0744	0.792182494832013
15.1886	0.918924610034624
15.3028	0.425338478668451
15.417	0.502581662781763
15.5312	0.51927592064278
15.6454	0.535838599713379
15.7596	0.559521858693983
15.8738	0.603456263588549
15.988	0.679718129879762
16.1022	0.80344195939336
16.2164	0.410327846245477
16.3306	0.603582870164487
16.4448	0.44860539383973
16.559	0.461749780519229
16.6732	0.482283736252931
16.7874	0.524114597900815
16.9016	0.599112639119121
17.0158	0.723276054058692
17.13	0.396565774719634
17.2442	0.541319233043143
17.3584	0.396365092044572
17.4726	0.405832021037515
17.5868	0.425436605899877
17.701	0.466988749312157
17.8152	0.543492810853356
17.9294	0.672923408979237
18.0436	0.38198530627133
18.1578	0.496386837294751
18.272	0.357111102963733
18.3862	0.364425656036213
18.5004	0.383210560206779
18.6146	0.426742323553828
18.7288	0.508191153613395
18.843	0.645263645519959
18.9572	0.36580026338398
19.0714	0.478118921208911
19.1856	0.32949572468578
19.2998	0.335912543383107
19.414	0.35540121827365
19.5282	0.402946835167853
19.6424	0.492004850343765
19.7566	0.640161176151026
19.8707999999999	0.351511306307827
19.9849999999999	0.485429026363221
20.0991999999999	0.313462960583083
20.2133999999999	0.318699935131498
20.3275999999999	0.34052040940754
20.4417999999999	0.394442695937888
20.5559999999999	0.494032382033885
20.6701999999999	0.255819708606474
20.7843999999999	0.261065736234699
20.8985999999999	0.257826241351274
21.0127999999999	0.254846506309198
21.1269999999999	0.261996105490408
21.2411999999999	0.290344130165319
21.3553999999999	0.353599681864239
21.4695999999999	0.469382077842954
21.5837999999999	0.23716391060009
21.6979999999999	0.236324951890585
21.8121999999999	0.231181617744815
21.9263999999999	0.228067440293315
22.0405999999999	0.238526813932301
22.1547999999999	0.27397761561395
22.2689999999999	0.349830464982107
22.3831999999999	0.482592489588585
22.4973999999999	0.234764140373163
22.6115999999999	0.228834074258023
22.7257999999999	0.22109960094273
22.8399999999999	0.219088582079744
22.9541999999999	0.234582425262691
23.0683999999999	0.279790822419605
23.1825999999999	0.371175560630983
23.2967999999999	0.194273917225307
23.4109999999999	0.19452105457326
23.5251999999999	0.186062196474932
23.6393999999999	0.177963487107889
23.7535999999999	0.17996405425196
23.8677999999999	0.20289388209059
23.9819999999999	0.261959142313973
24.0961999999999	0.37332292595614
24.2103999999999	0.18496765008992
24.3245999999999	0.179524622811692
24.4387999999999	0.168879539811424
24.5529999999999	0.161341292166013
24.6671999999999	0.168956574912221
24.7813999999999	0.202305021406109
24.8955999999999	0.277709775565888
25.0097999999999	0.411076288488848
25.1239999999999	0.194579622630343
25.2381999999999	0.183685455239072
25.3523999999999	0.171438166708295
25.4665999999999	0.166655920126799
25.5807999999999	0.180213171206024
25.6949999999999	0.226080342383159
25.8091999999999	0.32136044080938
25.9233999999999	0.162941766377982
26.0375999999999	0.157252407903092
26.1517999999999	0.144129077070288
26.2659999999999	0.132541965711238
26.3801999999999	0.133660547602006
26.4943999999999	0.158420477571322
26.6085999999999	0.222341125259645
26.7227999999998	0.340553848878229
26.8369999999998	0.16183135924146
26.9511999999998	0.150148668959788
27.0653999999998	0.135549313085929
27.1795999999998	0.126458190383993
27.2937999999998	0.13474077117051
27.4079999999998	0.172139564305623
27.5221999999998	0.256719390258272
27.6363999999998	0.40224861590972
27.7505999999998	0.183535837027319
27.8647999999998	0.167507731546839
27.9789999999998	0.151913940410685
28.0931999999998	0.146688074463465
28.2073999999998	0.163934947363737
28.3215999999998	0.218908658693412
28.4357999999998	0.325195095554963
28.5499999999998	0.154532542901652
28.6641999999998	0.141519817221045
28.7783999999998	0.124077232512201
28.8925999999998	0.111320388323872
29.0067999999998	0.114636093846726
29.1209999999998	0.145769242518094
