"Time [ms]"	"Moving1.Speed [rpm]"
0	0
0.1142	0.000279444829098384
0.2284	1.07212820496687
0.3426	4.15785029992959
0.4568	9.08669639869792
0.571	15.7851819027292
0.6852	24.1910374869814
0.7994	34.2401535699487
0.9136	45.8696690012994
1.0278	59.0191003464432
1.142	73.6263873774768
1.2562	89.6316889513976
1.3704	106.979512665812
1.4846	125.61094655115
1.5988	145.4599385233
1.713	166.45854394654
1.8272	188.537908930904
1.9414	211.627971739862
2.0556	235.681405571621
2.1698	260.727614329911
2.284	286.799003042908
2.3982	313.849060496315
2.5124	341.793563255423
2.6266	370.519836965952
2.7408	399.890474022893
2.855	429.768940022504
2.9692	459.983170689262
3.0834	490.401984150144
3.1976	520.904235318288
3.3118	551.344960205299
3.426	581.619703564853
3.5402	611.584763239528
3.6544	641.146110119083
3.7686	670.212902436589
3.8828	698.634956087156
3.997	726.259523373179
4.1112	752.988518234725
4.2254	778.733376797715
4.3396	803.353855116394
4.4538	826.727363031468
4.568	848.420502770594
4.6822	868.306341863781
4.7964	886.818071616876
4.9106	904.375631893876
5.0248	921.451344099941
5.139	938.383453673383
5.2532	955.368377524392
5.3674	972.551994439527
5.4816	989.997799771773
5.5958	1007.70338214497
5.71	1025.62786570269
5.8242	1043.70679308903
5.9384	1061.8240738179
6.0526	1079.73561641292
6.1668	1096.62263427532
6.281	1111.96923694604
6.3952	1126.12071534056
6.5094	1139.52490261649
6.6236	1152.53984659046
6.7378	1165.39085443805
6.852	1178.20403038245
6.9662	1190.96948382966
7.0804	1203.59283123988
7.1946	1215.94942589009
7.3088	1227.54758558204
7.423	1238.02145846334
7.5372	1247.54223311891
7.6514	1256.40361330824
7.7656	1264.97083820662
7.8798	1273.52156581802
7.994	1282.21719648316
8.1082	1291.11412851482
8.2224	1300.16197822464
8.3366	1309.22623763079
8.4508	1317.64007709662
8.565	1325.01038000511
8.6792	1331.72537863323
8.79340000000001	1338.18450060299
8.90760000000001	1344.7393870342
9.02180000000001	1351.50841379327
9.13600000000001	1358.42937647166
9.25020000000001	1365.46385724948
9.36440000000001	1372.57067849299
9.47860000000001	1379.68877052765
9.59280000000001	1386.27470734209
9.70700000000001	1392.03769273024
9.82120000000001	1397.40497666392
9.93540000000001	1402.77324295877
10.0496	1408.29909769635
10.1638	1413.93750380345
10.278	1419.66522458182
10.3922	1425.4519905875
10.5064	1431.24100741527
10.6206	1436.53843855213
10.7348	1441.11446454569
10.849	1445.40984500719
10.9632	1449.74663530591
11.0774	1454.19746703334
11.1916	1458.73117299323
