"Time [ms]"	"BEMF [V]"
0.1142	6.09419083821961E-05
0.2284	483.655084043361
0.3426	470.489094473484
0.4568	457.690444533009
0.571	445.068461897435
0.6852	432.641691163283
0.7994	420.317368352089
0.9136	408.252342237895
1.0278	396.383953697799
1.142	384.635003994386
1.2562	372.978214041697
1.3704	361.383343135405
1.4846	349.240930430425
1.5988	336.71927963523
1.713	323.709414276016
1.8272	309.872071771128
1.9414	294.937055968303
2.0556	277.853990670601
2.1698	256.373307133726
2.284	228.49783573043
2.3982	197.874892915406
2.5124	168.594378272249
2.6266	140.789014694822
2.7408	114.891391204076
2.855	93.5120456861376
2.9692	76.8239434570113
3.0834	62.9965907108741
3.1976	52.9838422039139
3.3118	45.5448796465423
3.426	40.1840565006458
3.5402	44.850309462829
3.6544	47.8226989054467
3.7686	58.0834597102469
3.8828	68.2864655466374
3.997	79.3271512512557
4.1112	86.7009412906812
4.2254	98.615212690512
4.3396	108.13753930249
4.4538	117.718390960522
4.568	652.341151605704
4.6822	590.728716260714
4.7964	542.713464601018
4.9106	506.897833416871
5.0248	483.327485685024
5.139	467.007741187176
5.2532	455.191878035211
5.3674	445.096141276155
5.4816	436.100147271909
5.5958	427.408266450757
5.71	416.613716064445
5.8242	401.771720550592
5.9384	381.872782505598
6.0526	360.451015953154
6.1668	593.013055967486
6.281	551.737294115421
6.3952	519.775284863005
6.5094	498.350846208784
6.6236	483.668327803739
6.7378	473.617247601808
6.852	465.767478654989
6.9662	459.396416060666
7.0804	453.614642966276
7.1946	447.7588772196
7.3088	563.214341970742
7.423	534.568193269259
7.5372	514.838114626284
7.6514	500.320538220401
7.7656	489.588645772315
7.8798	481.281543915489
7.994	474.935418874362
8.1082	470.124732540326
8.2224	466.407607278786
8.3366	463.323263608398
8.4508	524.900359927144
8.565	509.33851968208
8.6792	496.707091395514
8.79340000000001	486.76307856083
8.90760000000001	536.160672041059
9.02180000000001	451.379207094807
9.13600000000001	448.651301824187
9.25020000000001	445.297692792511
9.36440000000001	455.582380686453
9.47860000000001	498.231474885535
9.59280000000001	514.56513798326
9.70700000000001	501.641982556891
9.82120000000001	491.502958469101
9.93540000000001	559.021828961222
10.0496	460.310062467093
10.1638	458.167034083312
10.278	455.437192353791
10.3922	458.8604675159
10.5064	501.368570520964
10.6206	510.425660318082
10.7348	498.652062315466
10.849	489.810658360404
10.9632	468.863181277951
11.0774	467.542469776106
11.1916	465.665931027993
11.3058	463.165633102897
11.42	477.294955267566
11.5342	504.669841832371
11.6484	493.485506146163
11.7626	476.435091179714
11.8768	475.553542675831
11.991	474.647107931444
12.1052	473.357096728129
12.2194	471.511538222827
12.3336	468.881762393016
12.4478	502.937364694941
12.562	503.208477165416
12.6762	567.361971298278
12.7904	479.776959703962
12.9046	479.086517705303
13.0188	478.166050939038
13.133	476.745837769656
13.2472	474.624724175335
13.3614	494.552633856646
13.4756	500.293843692045
13.5898	483.783426246333
13.704	483.232215373059
13.8182	482.657581963866
13.9324	481.958823582048
14.0466	480.799087672863
14.1608	478.977384658698
14.275	490.197874708583
14.3892	498.252894267818
14.5034	486.272719738776
14.6176	485.849587106503
14.7318	485.39918333681
14.846	484.830913517447
14.9602	483.826092474248
15.0744	482.175792832052
15.1886	488.578456547538
15.3028	496.80984041039
15.417	488.119986992304
15.5312	487.777002038188
15.6454	487.436770333079
15.7596	486.950345921044
15.8738	486.048210240928
15.988	484.4829183821
16.1022	489.844300600918
16.2164	495.926297895227
16.3306	489.415361459886
16.4448	489.229356474344
16.559	488.959145730722
16.6732	488.537091513136
16.7874	487.677553955764
16.9016	486.137326641312
17.0158	495.007118854085
17.13	495.384430351539
17.2442	491.160943662528
17.3584	490.303764709884
17.4726	490.109013349663
17.5868	489.705760118705
17.701	488.851394135592
17.8152	487.279429444353
17.9294	501.74048091349
18.0436	495.14012127477
18.1578	491.856247460538
18.272	491.111677403056
18.3862	490.961097550049
18.5004	490.574434870425
18.6146	489.678825278995
18.7288	488.004568555703
18.843	510.694730158456
18.9572	495.194212927376
19.0714	491.882881995885
19.1856	491.680417644198
19.2998	491.548232342308
19.414	491.14685922023
19.5282	490.168226785068
19.6424	488.337107100046
19.7566	520.894985428174
19.8707999999999	495.536255785424
19.9849999999999	491.95982878584
20.0991999999999	492.010787691563
20.2133999999999	491.902849116435
20.3275999999999	491.45326966231
20.4417999999999	490.343134628552
20.5559999999999	488.869395201278
