"Time [ns]"	"NodeVoltage(Ie_a) [mV]"	"NodeVoltage(Ie_b) [mV]"	"NodeVoltage(Ie_c) [mV]"	"NodeVoltage(Iv_a) [mV]"	"NodeVoltage(Iv_b) [mV]"	"NodeVoltage(Iv_c) [mV]"
5938400	122597.899235935	255041.831560356	-126830.950945242	249076.884852096	250810.48477056	-249078.589771607
6052600	104581.981556336	253332.737567772	-107118.278385382	249069.942561626	250797.393638753	-249070.895461653
6166800	-352459.524821956	240553.53114553	-138907.430438916	-250894.176624911	249163.279447098	-249082.526937529
6281000	-321215.885713258	230521.408402163	-160134.685415648	-250883.478782299	249147.506143233	-249093.190087677
6395200	-298450.612588702	221324.672274303	-173712.304694434	-250873.446807049	249135.363971665	-249100.16217345
6509400	-284083.031479011	214267.814729773	-181025.664199107	-250864.751584729	249128.114253782	-249104.243617398
6623600	-275091.255440385	208577.072363354	-184325.28104843	-250856.355145629	249123.121186191	-249106.230166022
6737800	-269941.573026578	203675.67457523	-184571.331283321	-250850.057716384	249119.223455702	-249106.395473986
6852000	-266746.399325343	199021.079329646	-183109.357445903	-250844.923800869	249115.79709258	-249105.550733311
6966200	-265275.656350864	194120.759709802	-179678.660423496	-250842.4165176	249112.427609492	-249103.568156451
7080400	-264911.852228932	188702.790737344	-174624.412038878	-250841.644979211	249108.939674551	-249100.768225806
7194600	-265225.865804002	182533.011415598	-168141.433478935	-250842.161654802	249105.219710479	-249097.345923016
7308800	-253237.159501879	192438.740217503	309977.182468863	-250811.645404164	249111.008091332	250879.40049732
7423000	-242175.90087527	200595.941870957	292392.292393989	-249174.235438959	249116.918658084	250869.650170552
7537200	-235160.016220249	206308.071035201	279678.098406035	-249155.560402376	249121.245581647	250860.468041716
7651400	-229686.978544659	209882.281521274	270633.559675742	-249146.174404851	249124.197028102	250850.840029107
7765600	-225384.166601103	212006.305394138	264204.479171212	-249140.211565416	249126.066267533	250840.763262131
7879800	-221810.912429259	213160.968948099	259470.63148623	-249135.912286506	249127.117438164	250829.482853412
7994000	-218641.324291124	213160.37042533	256294.094583238	-249132.464407042	249127.11232383	250818.492800655
8108200	-215624.53701935	211930.70799961	254500.195520976	-249129.439839709	249126.002129027	250809.804211918
8222400	-212512.062080869	209419.391718076	253895.545197917	-249126.53716394	249123.823880398	250805.588118665
8336600	-208857.100755851	205196.793881241	254466.162852547	-249123.362358007	249120.380431671	250808.837904273
8450800	-215014.467756342	-280507.901710247	244392.458216897	-249128.638898233	-250861.667429903	248860.395078445
8565000	-219423.33162919	-270367.406783684	238971.112898396	-249133.250456546	-250850.665085394	249164.290027462
8679200	-222643.078010627	-262441.960928836	234265.130466678	-249136.857579785	-250837.052398166	249154.001505168
8793400.00000001	-224864.425441422	-256355.072888568	230408.005672262	-249139.555042801	-250819.265695885	249147.328080958
8907600.00000001	-226833.854150907	-309320.42541192	226840.246629139	-249142.143051427	-309314.041586483	249142.151704222
9021800.00000001	-225688.611034282	-96039.3656377949	225690.596060525	-249140.624281521	-96037.3832124243	249140.626882393
9136000.00000001	-224324.203847615	-140030.911965058	224327.097976572	-249138.899369273	-140028.021494386	249138.903027557
9250200.00000001	-222646.911489636	-187256.625059485	222650.781302875	-249136.882138802	-187252.759820197	249136.886712753
9364400.00000001	-220412.085362442	-235165.436026633	220416.94465982	-249134.350782377	-235160.582025066	249134.356078189
9478600.00000001	-217327.649692954	-280898.022263262	217333.452622273	-249131.108906192	-280892.225210424	249131.114782674
9592800.00000001	271530.869012504	-243034.268970756	222317.159495034	250852.198451058	-249174.785684176	249136.3467699
9707000.00000001	263261.726436614	-238380.256120277	225935.532516626	250839.10485997	-249163.011347115	249140.909320108
9821200.00000001	256887.277369568	-234615.681099533	228539.575119484	250821.362723143	-249154.692934489	249144.501600866
9935400.00000001	328022.437166305	-230999.391794917	230992.613190241	328015.669525845	-249148.289767604	249148.278803387
10049600	92095.5546166267	-230155.983250157	230154.079216936	92093.6536056939	-249146.950661	249146.947638712
10163800	137431.716078431	-229084.937564259	229082.096519053	137428.879257533	-249145.325805195	249145.321580886
10278000	188166.244706412	-227720.540903411	227716.65145038	188162.360689244	-249143.360110921	249143.354675058
10392200	232955.427089357	-225905.040426543	225900.225726531	232950.618703294	-249140.902920914	249140.896606966
10506400	277979.75463988	-223388.815881084	223383.072050973	277974.017669902	-249137.751441836	249137.744581703
10620600	243733.49790158	-227850.444997325	-266692.162416502	249179.56533118	-249143.417176384	-250845.257667043
10734800	239541.246132293	-231241.959732005	-259110.816183173	249166.190151458	-249148.644728109	-250829.075206234
10849000	236294.761673297	-233595.719854822	-253515.896687107	249158.168386475	-249152.72641865	-250822.296836458
10963200	234433.498234565	-234429.683043386	-184469.199442076	249154.370207867	-249154.362776366	-184465.391682398
11077400	233772.306080904	-233770.163695202	-103592.764538154	249153.106779434	-249153.102739847	-103590.62619204
11191600	232834.521982658	-232831.409045335	-150539.623669231	249151.393910624	-249151.388355656	-150536.516286876
11305800	231584.905554391	-231580.727548506	-202074.494266975	249149.245423864	-249149.238497587	-202070.323187367
11420000	229844.689019225	-229839.573630511	-247450.266248341	249146.462853838	-249146.45494642	-247445.158767046
11534200	234024.745662011	260724.891380436	-243944.950451935	249153.452255698	250833.206759092	-249181.972424279
11648400	237283.149486383	253516.273768607	-239969.232377556	249160.405754967	250837.212425657	-249167.427303189
11762600	238216.451519481	105733.751180933	-238218.639660233	249162.764330766	105731.568644302	-249162.769934886
11876800	237776.571177201	19345.8672150145	-237776.97149863	249161.662950228	19345.4678896905	-249161.663946333
11991000	237322.793683154	73489.4129766786	-237324.31424829	249160.566946798	73487.8960196134	-249160.570554869
12105200	236677.258199484	124719.214526022	-236679.838528645	249159.068563311	124716.640105125	-249159.074471575
12219400	235753.916915534	179081.394199186	-235757.621307293	249157.045236491	179077.697691438	-249157.053120502
12333600	234438.540941302	226314.320288959	-234443.221451714	249154.369643553	226309.648946031	-249154.378811037
12447800	232536.026501378	270395.747667125	-232541.617027816	249150.853389211	270390.166951623	-249150.863200146
12562000	-258735.203618578	244473.273546838	-236539.405122747	-250827.579030805	249184.8511221	-249158.607285781
12676200	-327115.299400875	240246.671897403	-240239.899710887	-327108.548002387	249168.442634705	-249168.421846677
12790400	-4110.60637320118	239888.522310103	-239888.437393859	-4110.52179503699	249167.360192551	-249167.35985447
12904600	-54574.0935260827	239543.823732123	-239542.69397318	-54572.9670155617	249166.353740207	-249166.350491785
13018800	-108759.914501418	239084.151077712	-239081.899861326	-108757.669502678	249165.059758575	-249165.05354093
13133000	-163049.416929737	238374.60607755	-238371.231692106	-163046.051330824	249163.162630808	-249163.153844277
13247200	-212758.229213606	237314.563126248	-237310.161049087	-212753.837635308	249160.534628587	-249160.524129725
13361400	-258819.154473569	235733.479383077	-235728.125971484	-258813.812445509	249156.985834212	-249156.974450679
13475600	-244576.16089091	239654.893056895	255717.682801135	-249185.80880132	249166.481539389	250815.742229051
13589800	-241893.570399057	241889.855847276	179291.447768719	-249174.011843231	249173.998194309	179287.746865859
13704000	-241615.995201098	241616.220171961	-10857.3514941374	-249173.000162353	249173.000948599	-10857.1273095202
13818200	-241329.229144406	241328.35281946	42305.7993153408	-249171.985587808	249171.982532843	42304.9260453595
13932400	-240980.437906542	240978.385675506	99086.4383839356	-249170.796418297	249170.789510741	99084.3930604548
14046600	-240401.133115423	240397.95455744	153500.422035783	-249168.914489769	249168.904431441	153497.253536128
14160800	-239490.803894961	239486.580763737	204007.257345648	-249166.184815895	249166.172653692	204003.046376627
14275000	-238098.409337128	238093.192682467	252099.465371455	-249162.436659883	249162.423424196	252094.261952482
14389200	-241996.246525474	-253522.802493949	244730.091773869	-249174.128681469	-250801.791868458	249186.963304373
14503400	-243135.6845046	-65159.3993948535	243137.035234176	-249179.066407336	-65158.0544395283	249179.072181587
14617600	-242924.975225104	17523.6123825087	242924.611881399	-249178.147308501	17523.250634901	249178.145712404
14731800	-242699.212236628	-36609.1585558144	242699.971100182	-249177.191090637	-36608.4028753732	249177.194273749
14846000	-242414.477005235	-94546.9361074554	242416.436512212	-249176.027870777	-94544.9844865519	249176.03575685
14960200	-241911.50443577	-148822.62314538	241914.588038478	-249174.07169519	-148819.551200157	249174.083352675
15074400	-241085.812604685	-201217.958680184	241089.980227367	-249171.127994526	-201213.80527784	249171.142214863
15188600	-239785.908505185	-248787.397680226	239791.058867312	-249167.019090799	-248782.262598946	249167.034371647
15302800	251953.496167702	-244856.344242688	243680.523916333	250784.333160001	-249187.848457261	249181.191138606
15417000	-13463.5772502322	-244059.853455147	244060.133537157	-13463.2988912265	-249183.510926926	249183.51264993
15531200	-21255.782941885	-243888.280493567	243888.721544621	-21255.3441714344	-249182.633262318	249182.635542922
15645400	35828.8157520801	-243718.756770102	243718.013562977	35828.0761796235	-249181.790958314	249181.787323646
15759600	94380.0107250687	-243476.151678718	243474.194242326	94378.0625496906	-249180.624480289	249180.615219275
15873800	149897.242139541	-243025.659050971	243022.551189957	149894.148012491	-249178.568502678	249178.554768715
15988000	201422.762439519	-242243.546245734	242239.372136366	201418.60481127	-249175.320223255	249175.303742136
16102200	248869.316151556	-240974.984449362	240969.83035777	248864.179380752	-249170.726342424	249170.709021637
16216400	245010.795759131	-244854.910181976	-250915.502136096	249188.891475211	-249187.393521172	-250761.114512981
16330600	246391.578394342	-243023.783065544	232036.387535879	249197.091853885	-249177.103863158	235384.194873949
16444800	244616.164293931	-244613.192180413	-143144.468671776	249186.567387268	-249186.550029229	-143141.513916298
16559000	244480.00348276	-244479.142247962	-41482.880945519	249185.791529059	-249185.786562162	-41482.0246776184
16673200	244269.5680387	-244267.523474436	-98508.2178164947	249184.624537852	-249184.613361736	-98506.1844283476
16787400	243840.377675668	-243837.176280096	-154308.034873793	249182.369700321	-249182.353475014	-154304.849703528
16901600	243070.778630909	-243066.548010403	-204046.005684718	249178.737346618	-249178.718493809	-204041.793917021
17015800	241797.188342851	-241791.942518061	-253209.930511234	249173.589822911	-249173.570334133	-253204.704175222
17130000	245647.973675605	250232.049155813	-245152.381195726	249192.541617242	250724.928869946	-249189.828851497
17244200	243662.334703779	-247498.608958749	-246753.302806768	249179.164348824	-250568.793094803	-249199.948315759
17358400	245150.474391438	135520.920144895	-245153.290318446	249189.857607331	135518.122754629	-249189.876144072
17472600	245054.009582791	47849.5437958545	-245055.003766872	249189.240032104	47848.5561036838	-249189.246524014
17586800	244851.77910781	106011.31235984	-244853.981010895	249187.968688458	106009.124095618	-249187.982327321
17701000	244424.040446488	159602.388636881	-244427.353689104	249185.446038695	159599.094187734	-249185.464832165
17815200	243637.524253328	211203.165626136	-243641.905191025	249181.333885194	211198.806139198	-249181.355335953
17929400	242308.424456324	259426.680469048	-242313.800444442	249175.512276294	259421.325890258	-249175.533685622
18043600	-249837.712239092	245302.409035678	-246137.435912614	-250667.339915772	249190.844849619	-249196.244049875
18157800	247733.014051592	247036.259443395	-244123.233408946	250624.292355185	249202.60108264	-249180.853351783
18272000	-134498.425193321	245557.237028731	-245554.440374325	-134495.648909092	249192.657582027	-249192.637211849
18386200	-57874.424230339	245481.15046352	-245479.947086529	-57873.2296025582	249192.116640278	-249192.107891068
18500400	-114377.379253364	245288.406068746	-245286.028801679	-114375.018301103	249190.770791867	-249190.754477061
18614600	-169867.400849231	244841.176741959	-244837.648537036	-169863.894521765	249187.863415574	-249187.841538117
18728800	-220160.300350733	244004.568375395	-244000.000180308	-220155.756005167	249183.143095931	-249183.11924641
18843000	-268097.035794941	242597.694363515	-242592.137961819	-268091.502399977	249176.655308107	-249176.632301375
18957200	-245468.981936912	246370.955972347	249725.230990464	-249192.007058541	249198.248806581	250620.963277859
19071400	-247347.356905173	244310.586744553	-247572.295251332	-249205.819759798	249181.508953099	-250584.754605253
19185600	-245841.792778219	245838.624865979	152263.499291941	-249194.800762392	249194.775836102	152260.356305991
19299800	-245774.840375956	245773.391966352	69611.5099096395	-249194.281354997	249194.269851058	69610.0730039737
19414000	-245574.749302421	245572.109917809	126920.661334021	-249192.773046875	249192.753525961	126918.041470324
19528200	-245086.003574567	245082.223210501	181942.312414215	-249189.375695895	249189.350890301	181938.556855743
19642400	-244170.948301059	244166.158798987	230790.937208118	-249183.989261166	249183.963489782	230786.173477431
19756600	-242650.143856033	242644.377304123	278244.841572141	-249176.852819138	249176.828788922	278239.099050446
19870799.9999999	-246374.606177597	-249920.184491614	245616.07129381	-249198.304843631	-250673.477252384	249193.062720614
19984999.9999999	-244235.453104246	246764.819234435	247724.375681594	-249181.088263688	250224.962864318	249209.867211152
20099199.9999999	-246003.443163117	-187418.946382074	246007.344528446	-249196.102671748	-187415.077129606	249196.134784609
20213399.9999999	-245950.549436112	-84081.6966830935	245952.299680323	-249195.663780879	-84079.9610846562	249195.678426653
20327599.9999999	-245725.161645207	-141636.391739976	245728.108017103	-249193.875229234	-141633.468124883	249193.897986037
20441799.9999999	-245169.549813092	-194172.762981684	245173.58481546	-249189.891377404	-194168.75498904	249189.918387128
20555999.9999999	-244145.158670171	-244719.158152627	244150.237048651	-249183.828401216	-244714.106998993	249183.855626063
20670199.9999999	101158.739594278	-246600.679112708	246598.569453275	101156.651494407	-249201.245546255	249201.223986692
20784399.9999999	-83226.0235572327	-246544.863440959	246546.59977016	-83224.3049112736	-249200.948028688	249200.965711931
20898599.9999999	-23522.2569004744	-246578.919280773	246579.410065918	-23521.7713485196	-249201.279330341	249201.284563532
21012799.9999999	36702.6113788334	-246610.320662987	246609.555357576	36701.8537698263	-249201.60622996	249201.598533556
21126999.9999999	98773.9153859787	-246537.14706212	246535.087561985	98771.8765125946	-249200.860898386	249200.840271634
21241199.9999999	156891.740782526	-246245.257074637	246241.988933024	156888.50228094	-249198.087927644	249198.058287617
21355399.9999999	209149.124359034	-245594.018979027	245589.66951271	209144.807264144	-249192.782310587	249192.749939161
21469599.9999999	258862.200816967	-244403.616751717	244398.243592177	258856.85787004	-249185.163216342	249185.13300373
21583799.9999999	246793.350901863	-246791.188942407	-103586.406524423	249203.229982286	-249203.206233423	-103584.26831383
21697999.9999999	246800.524232198	-246801.903559918	66048.2378156219	249203.580317436	-249203.595927256	66046.8740977214
21812199.9999999	246854.292995961	-246854.433546095	6721.73539709918	249204.171534357	-249204.173329271	6721.59664187953
21926399.9999999	246887.147939521	-246885.955393221	-57120.4505122273	249204.540656644	-249204.527182329	-57119.271440242
22040599.9999999	246779.666185523	-246777.191728355	-118554.91666191	249203.319645986	-249203.292372852	-118552.469477876
22154799.9999999	246414.176891109	-246410.578900471	-172636.439294287	249199.57942742	-249199.544917728	-172632.875813341
22268999.9999999	245632.930393962	-245628.247658054	-225161.949084093	249193.007049154	-249192.971886719	-225157.30151062
22383199.9999999	244267.97346447	-244262.32456783	-272205.541387531	249184.392629875	-249184.361812954	-272199.923307813
22497399.9999999	246815.697817659	127673.875324643	-246818.362595843	249203.438041966	127671.239911032	-249203.46740654
22611599.9999999	246879.099624759	-45157.3920418468	-246878.15647082	249204.450824686	-45156.4596583359	-249204.440054258
22725799.9999999	246958.448820202	12726.4184992837	-246958.714462108	249205.351090562	12726.1558055258	-249205.35403871
22839999.9999999	246978.5619435	77140.8996057904	-246980.173433398	249205.576403846	77139.3072748819	-249205.595562836
22954199.9999999	246817.718590959	136761.642838881	-246820.573630466	249203.695468393	136758.819843749	-249203.727512769
23068399.9999999	246350.359597879	192172.388971015	-246354.363916403	249198.938190649	192168.422262625	-249198.975800782
23182599.9999999	245408.305767983	242518.537822745	-245413.347127222	249191.355932794	242513.532078725	-249191.391548013
23296799.9999999	-36352.5534557806	247236.099549456	-247235.338976413	-36351.8030718753	249208.336722359	-249208.326533221
23410999.9999999	88283.1341260544	247232.631496044	-247234.479753047	88281.3114801364	249208.681078554	-249208.706689639
23525199.9999999	27277.9477704622	247320.899134524	-247321.47072799	27277.3846928792	249209.869231201	-249209.877747084
23639399.9999999	-36090.078172303	247405.529827164	-247404.774065373	-36089.3332075124	249211.077065478	-249211.066268478
23753599.9999999	-98956.9101489669	247385.405842554	-247383.332927721	-98954.8674981414	249210.750022539	-249210.719758532
23867799.9999999	-157323.051543931	247148.394928313	-247145.104852219	-157319.804139563	249207.479600574	-249207.436928849
23981999.9999999	-209952.229584366	246538.396338867	-246534.018976719	-209947.895913678	249200.584906113	-249200.541214652
24096199.9999999	-259288.259902641	245391.343483862	-245385.954042632	-259282.908169798	249191.160894888	-249191.123186501
24210399.9999999	-247332.662217126	247331.460628442	57407.4830881946	-249209.572004556	249209.555411213	57406.2980928539
24324599.9999999	-247388.267754664	247389.641115161	-65533.6863017239	-249210.818847355	249210.839277954	-65532.3333718257
24438799.9999999	-247499.300000702	247499.41180025	-5307.96996765242	-249212.436540893	249212.438767918	-5307.86039512839
24552999.9999999	-247578.238548109	247576.973506581	60304.9602572585	-249213.656975829	249213.636740509	60303.7154510506
24667199.9999999	-247499.720272682	247497.186105568	120847.752529173	-249212.342039038	249212.302383188	120845.25801791
24781399.9999999	-247154.617234119	247150.881168679	178647.138588007	-249207.463656707	249207.415138619	178643.451040656
24895599.9999999	-246376.007651226	246371.224599551	229555.246436909	-249198.965392402	249198.920576176	229550.50820146
25009799.9999999	-245003.098074927	244997.364764373	276032.058396722	-249188.582083289	249188.5456866	276026.361482857
25123999.9999999	-247231.511154437	-96685.5725451683	247233.533408015	-249208.245693551	-96683.5767838925	249208.272185854
25238199.9999999	-247346.268442544	41006.2587823577	247345.409597324	-249210.243478878	41005.4121816131	249210.231234402
25352399.9999999	-247472.614031092	-19908.5182321748	247473.030971825	-249212.050431533	-19908.1072862422	249212.056426334
25466599.9999999	-247521.531537961	-84424.691082505	247523.302035222	-249212.759217472	-84422.9484012156	249212.787033443
25580799.9999999	-247380.167173872	-144050.74745206	247383.184758659	-249210.565355487	-144047.774001083	249210.609489299
25694999.9999999	-246904.682876476	-198765.048679518	246908.83369947	-249204.408274673	-198760.945901123	249204.456319271
25809199.9999999	-245921.022532107	-249627.819984053	245926.217046545	-249195.03541296	-249622.667545249	249195.077488594
25923399.9999999	18156.7383012239	-247560.580351408	247560.199604044	18156.3635125049	-249212.790650017	249212.784691372
26037599.9999999	-79911.531537173	-247619.188392555	247620.86702324	-79909.8818192833	-249214.265767267	249214.294680063
26151799.9999999	-19536.1722917112	-247756.244864755	247756.656363894	-19535.7690203647	-249216.578439543	249216.586667336
26265999.9999999	46718.4639853533	-247877.596677506	247876.613382425	46717.4996303511	-249218.826111036	249218.807170958
26380199.9999999	108898.852748001	-247866.471507524	247864.178101717	108896.604879623	-249218.491076259	249218.44553883
26494399.9999999	168458.912524133	-247609.348151763	247605.812078638	168455.43526599	-249213.799562415	249213.740747433
26608599.9999999	220138.235949703	-246947.505213865	246942.907811905	220133.692056721	-249204.692427924	249204.638918946
26722799.9999998	267499.232336247	-245728.663938035	245723.100571137	267493.711276316	-249193.496583672	249193.454276705
26836999.9999998	247572.40852085	-247571.341020982	-50918.0791853997	249212.932324143	-249212.91586652	-50917.0281431539
26951199.9999998	247693.30636654	-247694.443805095	54110.2999697597	249215.517154863	-249215.537524966	54109.1829013078
27065399.9999998	247845.860636998	-247845.688817143	-8195.28508768139	249218.222773894	-249218.220115227	-8195.1159264938
27179599.9999998	247941.276072054	-247939.710504402	-74278.8429201965	249220.044840572	-249220.012525892	-74277.3096672249
27293799.9999998	247855.355364205	-247852.540978285	-133661.079031573	249218.159245893	-249218.103855448	-133658.320036097
27407999.9999998	247467.061021806	-247463.06587792	-190610.178447648	249211.492914458	-249211.432236635	-190606.243981585
27522199.9999998	246592.525619885	-246587.481799732	-241909.106848004	249200.834074977	-249200.783427023	-241904.113675805
27636399.9999998	245093.957887531	-245087.982235433	-287726.033666891	249189.102372072	-249189.06379065	-287720.096596215
27750599.9999998	247345.774334307	106752.576020085	-247348.008657931	249209.745246841	106750.372461518	-249209.776011898
27864799.9999998	247513.890299265	-27436.7070191632	-247513.315079587	249212.669002301	-27436.1405634569	-249212.660238329
27978999.9999998	247675.15939191	36314.6219693796	-247675.921689251	249215.227459465	36313.8723696447	-249215.24015707
28093199.9999998	247728.752429633	99890.9679701851	-247730.852102783	249216.068276609	99888.9060387525	-249216.106018327
28207399.9999998	247548.70155967	160873.105798844	-247552.076646935	249212.909846995	160869.785116726	-249212.964252142
28321599.9999998	246978.488105306	214420.911086641	-246982.967169914	249205.080413318	214416.485186391	-249205.133577674
28435799.9999998	245881.362190903	261976.063818714	-245886.812747541	249194.692517325	261970.656660669	-249194.735915918
28549999.9999998	-34889.6064970342	247647.987872947	-247647.256007771	-34888.8863112863	249214.083180562	-249214.071501134
28664199.9999998	63172.4184252445	247782.938644262	-247784.268229075	63171.114285709	249217.056074704	-249217.081519982
28778399.9999998	189.926003586796	247965.328122504	-247965.33308583	189.922076954673	249220.532092778	-249220.533129471
28892599.9999998	-67337.7757033869	248099.263355033	-248097.840027662	-67336.3857267603	249223.395358012	-249223.362007268
29006799.9999998	-126615.026408266	248064.951099662	-248062.275422507	-126612.412852727	249222.357817007	-249222.295695391
29120999.9999998	-185184.730273163	247740.736407193	-247736.844071453	-185180.907787295	249215.719522394	-249215.649672522
29235199.9999998	-236859.256421569	246949.597053048	-246944.651083604	-236854.367454446	249204.500952007	-249204.443949686
29349399.9999998	-283414.645729242	245549.567743593	-245543.676421111	-283408.796894933	249192.124833995	-249192.082345822
29463599.9999998	-247580.596241939	247578.954799853	78292.6693752765	-249213.05921378	249213.033872374	78291.0532745964
29577799.9999998	-247765.898039542	247766.600811332	-33416.9854012465	-249216.77975066	249216.792632073	-33416.2955108687
29691999.9999998	-247954.143230048	247953.512716465	29936.8605583565	-249220.32411274	249220.311549457	29936.2426080573
29806199.9999998	-248041.469179611	248039.466400059	94823.635847172	-249222.052300437	249222.006854334	94821.6785137229
29920399.9999998	-247907.678476195	247904.393834705	155877.368672607	-249218.983864137	249218.91678824	155874.151107013
30034599.9999998	-247403.013652095	247398.621959563	209684.329674583	-249210.333342953	249210.269793759	209680.001531246
30148799.9999998	-246358.561960098	246353.149516655	259820.387342701	-249198.557110412	249198.507383399	259815.024626271
30262999.9999998	-247874.611015848	-7504.14859700308	247874.768561355	-249217.899702926	-7503.99369745662	249217.902348886
30377199.9999998	-248019.336147841	68536.0857983663	248017.888083523	-249221.614487909	68534.6709649805	249221.581256977
