"Time [ns]"	"Moving1.Position [deg]"	"BEMF [V]"
57100	0.5139	436.79383058877
114200	1.0278	445.680531223094
171300	1.5417	451.002356070609
228400	2.0556	455.001813239968
285500	2.5695	457.882267091298
342600	3.0834	459.587024685327
399700	3.5973	459.615052747592
456800	4.1112	459.349527383708
513900	4.6251	457.010834566091
571000	5.139	454.939489223081
628100	5.6529	449.944532509027
685200	6.16679999999998	443.001141407958
742300	6.68069999999999	435.628857286876
799400	7.1946	425.832329248857
856500	7.70850000000001	412.748530474189
913600	8.22240000000001	419.905866535281
970700	8.73630000000002	431.4858113734
1027800	9.25020000000003	439.660627636928
1084900	9.76409999999998	447.21434116011
1142000	10.278	452.914984918314
1199100	10.7919	455.562390348472
1256200	11.3058	458.806398538157
1313300	11.8197	459.497943830677
1370400	12.3336	459.916576068965
1427500	12.8475	458.762572618563
1484600	13.3614	456.491754773623
1541700	13.8753	453.17991256922
1598800	14.3892	448.371406271246
1655900	14.9031	440.927385014244
1713000	15.417	432.014580943221
1770100	15.9309	421.195583768421
1827200	16.4448	409.84315447333
1884300	16.9587	424.271957402244
1941400	17.4726	433.820772136487
1998500	17.9865	442.673737165344
2055600	18.5004	449.207550046955
2112700	19.0143	453.96275091709
2169800	19.5282	456.822949214104
2226900	20.0421	459.332801675004
2284000	20.556	459.557509517126
2341100	21.0699	459.541009427177
2398200	21.5838	458.005891036977
2455300	22.0977	456.225191520868
2512400	22.6116	451.687858809546
2569500	23.1255	445.863823292291
2626600	23.6394	438.57859679761
2683700	24.1533	429.288103883499
2740800	24.6672	417.80572153748
2797900	25.1811000000001	415.779465621144
2855000	25.695	427.653885261947
2912100	26.2089	436.565386102111
2969200	26.7228	444.361009315882
3026300	27.2367	451.36363454828
3083400	27.7506	454.81215092887
3140500	28.2645	458.004205570845
3197600	28.7784000000001	459.299589774937
3254700	29.2923000000001	459.845306838938
3311800	29.8062000000001	459.254677273945
3368900	30.3201	457.283122633802
3426000	30.834	454.582353558863
3483100	31.3479	450.646158382884
3540200	31.8618	443.657867891745
3597300	32.3757	435.358559951868
3654400	32.8896000000001	425.776283730423
3711500	33.4035000000001	413.955828030115
3768600	33.9174000000001	419.629501681541
3825700	34.4313000000001	430.516603191655
3882800	34.9452	439.746150846882
3939900	35.4591	446.926335352987
3997000	35.973	452.451851038088
4054100	36.4869000000001	456.049949362759
4111200	37.0008000000001	458.847624901131
4168300	37.5147000000001	459.296928000522
4225400	38.0286000000001	459.693009176132
4282500	38.5425	458.636084998484
4339600	39.0564	456.988451361378
4396700	39.5703	453.319963339959
4453800	40.0842000000001	448.373555324753
4510900	40.5981000000001	441.607978294964
4568000	41.1120000000001	432.559802471207
4625100	41.6259000000001	422.569009102751
4682200	42.1398000000001	411.545330695452
4739300	42.6537000000001	422.800757202395
4796400	43.1676	433.740193498865
4853500	43.6815	441.897996319005
4910600	44.1954000000001	449.321775689617
4967700	44.7093000000001	453.666546285147
5024800	45.2232000000001	456.904494864816
5081900	45.7371000000001	458.851294296233
5139000	46.2510000000001	459.918333740732
5196100	46.7649000000001	459.503972019572
5253200	47.2788000000001	458.401662842037
5310300	47.7927000000001	455.332326962888
5367400	48.3066000000001	452.994173143331
5424500	48.8205000000001	445.746392846675
5481600	49.3344000000001	438.374475247158
5538700	49.8483000000001	430.070994773417
5595800	50.3622000000001	418.092362900038
5652900	50.8761000000001	414.886218685803
5710000	51.3900000000001	427.198661828293
