"Time [ms]"	"efficiency []"
0.1142	-1.71940901910711
0.2284	-0.0759914361280694
0.3426	-0.0776031259611325
0.4568	-0.0587501074694356
0.571	-0.0371342388547358
0.6852	-0.0179418618316163
0.7994	-0.00202734905551376
0.9136	0.0102325670721129
1.0278	0.0184989633485135
1.142	0.022164198042585
1.2562	0.0228167569324128
1.3704	0.0478318731581279
1.4846	0.0832126471491857
1.5988	0.119846756617094
1.713	0.145716705975426
1.8272	0.162035791990987
1.9414	0.171806672135331
2.0556	0.177655306576436
2.1698	0.181048470585546
2.284	0.182291952263039
2.3982	0.181302340414661
2.5124	0.177204965427364
2.6266	0.168969019665029
2.7408	0.156599629423039
2.855	0.143618012158425
2.9692	0.134043710624544
3.0834	0.127011092604796
3.1976	0.121646070832906
3.3118	0.11868967567019
3.426	0.11779108696769
3.5402	0.118203607232341
3.6544	0.1195463830089
3.7686	0.121598725607667
3.8828	0.124061926642666
3.997	0.12669942186949
4.1112	0.12932032341424
4.2254	0.131739754599537
4.3396	0.133854651003229
4.4538	0.13554475602292
4.568	0.136672172408851
4.6822	0.137055003077291
4.7964	0.136799814632706
4.9106	0.135651879570411
5.0248	0.133585539542708
5.139	0.130578809114653
5.2532	0.211145009937396
5.3674	0.315225925291168
5.4816	0.425160949911619
5.5958	0.509435180308982
5.71	0.552758112147998
5.8242	0.566133301221969
5.9384	0.563082406540128
6.0526	0.552710838880132
6.1668	0.537014262101451
6.281	0.516029776882061
6.3952	0.482347184305685
6.5094	0.433107810730805
6.6236	0.370555487929951
6.7378	0.31243432033665
6.852	0.259005141460794
6.9662	0.371464736484057
7.0804	0.4799083909195
7.1946	0.570243188326937
7.3088	0.622786876625881
7.423	0.644586838602593
7.5372	0.645138390201157
7.6514	0.636809639118044
7.7656	0.620596716716292
7.8798	0.595982775735793
7.994	0.563956245126705
8.1082	0.516588626365791
8.2224	0.449769751819924
8.3366	0.548338534547213
8.4508	0.627777975582833
8.565	0.688336190181421
8.6792	0.720419550316913
8.79340000000001	0.731099701048917
8.90760000000001	0.731100602285782
9.02180000000001	0.723496255065379
9.13600000000001	0.708781170641608
9.25020000000001	0.685498765186816
9.36440000000001	0.649209514386657
9.47860000000001	0.601099191408992
9.59280000000001	0.676332538750782
9.70700000000001	0.735174946202312
9.82120000000001	0.771689656334524
9.93540000000001	0.788544894291061
10.0496	0.79515033377113
10.1638	0.794990089429023
10.278	0.789511523551612
10.3922	0.779803094810323
10.5064	0.76090536608818
10.6206	0.732437814131273
10.7348	0.685867907409221
10.849	0.745154060163038
10.9632	0.785975867657659
11.0774	0.806756836578656
11.1916	0.816184629022256
11.3058	0.818229410904792
11.42	0.815542290575532
11.5342	0.808925011017348
11.6484	0.793180374548224
11.7626	0.768689690387483
11.8768	0.734533948047688
11.991	0.783069791794336
12.1052	0.815330289849227
12.2194	0.831592697185776
12.3336	0.83824402666944
12.4478	0.838893031092799
12.562	0.835898160482553
12.6762	0.827506575517407
12.7904	0.810993267066632
12.9046	0.787485989862966
13.0188	0.753852980718293
13.133	0.799838556342013
13.2472	0.828765386474344
13.3614	0.843527184677955
13.4756	0.849515844057966
13.5898	0.849842506980917
13.704	0.846436519470654
13.8182	0.836664864132686
13.9324	0.819927277411125
14.0466	0.794750003613908
14.1608	0.830761076411953
14.275	0.853922749376901
14.3892	0.864330853986037
14.5034	0.864947575525708
14.6176	0.869828570074713
14.7318	0.863360710797788
14.846	0.854146238672279
14.9602	0.84142517088965
15.0744	0.822445690358893
15.1886	0.793544996570214
15.3028	0.831190296969529
15.417	0.85476774019059
15.5312	0.865788051784135
15.6454	0.86708816048386
15.7596	0.8719246694027
15.8738	0.864289847731274
15.988	0.853724784383562
16.1022	0.838518748526339
16.2164	0.815046759730599
16.3306	0.846887059180316
16.4448	0.866854902897433
16.559	0.874444546599203
16.6732	0.877908656892862
16.7874	0.878273560319268
16.9016	0.871980028582426
