"Time [ns]"	"SolidLoss [mW]"	"CoreLoss [mW]"	"p_cu [W]"	"P_out [W]"	"Pro [W]"	"Pem []"
6966200	32469.3199614904	23754.4693308634	2815.36218193316	1668.34535594733	43.0259071008965	1711.37126304823
7080400	41989.5232355857	21999.8747992188	1649.4570134312	1562.55805031051	44.1219777758461	1606.68002808635
7194600	39625.7489231858	18007.3184658428	1068.94236461052	1484.57076021519	45.1263986791724	1529.69715889436
7308800	24966.8152499228	14924.5602319393	842.024032633395	1453.42499596285	46.0747984890683	1499.49979445191
7423000	17562.0596887795	12818.2535801644	769.478188690145	1449.45195616931	47.0024255518499	1496.45438172116
7537200	12427.1817045374	11792.0275425171	782.804347036602	1464.41882244508	47.9311758584056	1512.34999830349
7651400	10185.8716743676	11490.4755750089	835.329655024833	1496.35578192088	48.8780219126126	1545.23380383349
7765600	8901.71555313852	11050.0427313269	925.064925360801	1534.35922017302	49.8538162129286	1584.21303638595
7879800	8381.98706338109	10676.4645150597	1057.2172474737	1568.70997359918	50.8596453774096	1619.56961897659
7994000	8282.52452275334	10433.1137527799	1233.3335940528	1594.83322495533	51.8898454116259	1646.72307036695
8108200	8296.99420045566	10523.7697662408	1518.96295206326	1612.23001442112	52.9363763944731	1665.16639081559
8222400	10681.3942331742	10284.0727820911	2010.19584568521	1619.55934848902	53.9903662416844	1673.54971473071
8336600	28657.3268536859	27101.8567794145	1202.01471449316	1501.76334938117	54.9883480480801	1556.75169742925
8450800	31760.4098275801	24840.5132332446	780.155961740883	1395.29711721997	55.8766187042853	1451.17373592425
8565000	25301.3085797547	21079.5033792911	553.244597445926	1317.53705584423	56.674502868094	1374.21155871233
8679200	17352.2269983654	18001.7926271961	459.334017252846	1275.12891484396	57.4125844908655	1332.54149933483
8793400.00000001	11328.7774967126	16370.535178372	437.70335602741	1268.38124045861	58.1246046833799	1326.50584514199
8907600.00000001	8656.37032454164	15714.6968193619	446.836548072036	1284.41814638817	58.838258395252	1343.25640478342
9021800.00000001	6879.20279127666	15151.1490334754	480.841598287472	1315.89116161311	59.571587935693	1375.4627495488
9136000.00000001	5758.99824148383	14681.0342404736	536.899979281471	1351.10657863372	60.3335973732327	1411.44017600695
9250200.00000001	5295.96781813447	14022.3792345947	618.108099459615	1373.46615547486	61.1199298392652	1434.58608531412
9364400.00000001	6079.4197030569	13290.7013154875	745.231386373053	1386.84589700838	61.9202180839284	1448.76611509231
9478600.00000001	7622.52771783966	12794.2108494714	919.22202865155	1377.33522271619	62.7194292941127	1440.0546520103
9592800.00000001	21629.4825577356	27201.8114029682	565.034595005487	1261.24889651344	63.4566592897641	1324.70555580321
9707000.00000001	22724.4719378735	24001.9416321842	371.864129740917	1153.50867069722	64.0856599982306	1217.59433069545
9821200.00000001	16024.1679904842	20585.4993969689	282.824858361444	1080.38962668133	64.6270784162797	1145.01670509761
9935400.00000001	11020.6904138978	19239.0537349391	249.631636275346	1052.33946659788	65.1188169564603	1117.45828355434
10049600	8301.76587552455	19150.7910322893	241.545855431956	1056.29381271228	65.5974186288042	1121.89123134108
10163800	6480.76512691709	18824.5958692189	251.692304860094	1089.31595163788	66.0917347787969	1155.40768641668
10278000	4833.33512277309	18592.6564714974	274.959963718029	1132.74525732272	66.6203438947568	1199.36560121747
10392200	4802.64206196049	20033.4312303821	307.572985909141	1189.1018637774	67.1941317685793	1256.29599554598
10506400	4116.42606921549	16566.4755667123	360.983498871929	1217.47315964496	67.8058934056432	1285.27905305061
10620600	4770.70082368713	17498.5912692108	434.269297981874	1238.47934797652	68.4388209814689	1306.91816895799
10734800	6545.6175562373	16599.8462742604	551.640125495894	1225.04644003482	69.0731728737348	1294.11961290855
10849000	17578.8544779419	24648.065460089	337.786277819139	1097.80762750287	69.6391254078717	1167.44675291074
10963200	13955.156193544	21503.1612047917	238.483876730733	1003.70730963103	70.0987308505307	1073.80604048156
11077400	9929.24936820935	20292.3538146747	197.11637144708	954.415257027132	70.4891228920438	1024.90437991918
11191600	7424.34100679833	20572.8584074086	184.079968094841	952.3813695705	70.853961942188	1023.23533151269
11305800	5675.84581322899	20608.0791254326	187.12842458612	975.270282961894	71.2273883905485	1046.49767135244
11420000	4434.28107964675	20553.6572745414	201.388059770594	1016.27757892206	71.6296741725074	1087.90725309457
11534200	3742.69422758103	20844.258903988	223.551575369596	1064.50154722852	72.0726781535021	1136.57422538202
11648400	3341.84228392681	18414.9760538203	260.842495788512	1089.23834040302	72.5486207353938	1161.78696113841
11762600	4119.79962744189	19073.123350627	312.763531384829	1107.97359277122	73.043481785983	1181.0170745572
11876800	5593.0680854167	19707.5866284241	386.748843179942	1115.91160304829	73.5492887641376	1189.46089181243
11991000	13860.1887116493	22718.9633185553	238.402080611192	983.269346219526	73.9947222008357	1057.26406842036
12105200	11223.6057283678	20842.547603105	170.475151196567	894.949574204924	74.3344505844862	969.284024789411
12219400	8168.79268981825	20727.6124508255	143.042617448343	857.790793632817	74.6138674917343	932.404661124551
12333600	6163.0007994455	21143.5822481913	136.665399976137	863.655954476428	74.8775971188874	938.533551595316
12447800	4682.29279990714	21162.254153181	142.642315558997	895.815114763535	75.1583857458046	970.97350050934
12562000	3571.24944542469	20771.0463936242	156.341261191234	939.829285335833	75.4741726085206	1015.30345794435
12676200	2549.41102449104	18229.0577416527	177.13101818439	963.553610088056	75.8208849597524	1039.37449504781
12790400	2768.62977604323	19005.1334015942	206.280772629223	981.652145938528	76.1861985683094	1057.83834450684
12904600	3924.31173733444	19735.8419667644	249.123875143052	999.600583488894	76.5673306805561	1076.16791416945
13018800	5564.13508159528	19041.1603577933	315.730599497695	982.631692380301	76.94771817726	1059.57941055756
13133000	11777.3733315734	22036.2860687802	189.188721001201	856.853951752207	77.2596198432172	934.113571595424
13247200	9444.49942024447	20672.8548507194	133.080235224608	776.552091834327	77.473310118174	854.025401952501
13361400	6959.33693461641	20987.6164652549	110.485227977798	747.645444563465	77.6348022076637	825.280246771129
13475600	5150.4662384411	21284.5321426378	106.029520475582	760.207052090545	77.7880629915538	837.995115082099
13589800	3877.88304130017	21308.6629753985	111.942793693292	796.640819200228	77.9639339970361	874.604753197264
13704000	2834.6171055666	20420.9239034532	124.637509708999	838.398103012355	78.1761141014198	916.574217113775
13818200	2221.97918322399	18680.5311882966	142.85108339392	859.806383030552	78.4174121602404	938.223795190793
13932400	2565.55890303127	19302.2838176964	168.498772473219	877.392512895756	78.6763342061992	956.068847101955
14046600	4035.98833721207	20167.5291948545	206.423070398904	888.724220847917	78.9480758717061	967.672296719623
14160800	9660.25973688334	20914.6537747188	123.340997498903	759.362595632709	79.1633443268785	838.525939959588
14275000	8371.11943960122	20542.7819789639	86.1580658425276	684.650409531742	79.281669969756	763.932079501498
14389200	6418.49620591695	20909.5352082242	73.968313422005	662.066228822745	79.3537322919646	741.419961114709
14503400	5579.65466891062	22705.4884967879	75.4840108540039	687.508405921204	79.4269120593612	766.935317980565
14617600	1943.19918325087	17472.6238896332	84.2326764777461	719.842261821699	79.5271058903462	799.369367712046
14731800	1639.03830368746	17788.4721163872	95.1869934603359	747.746949828133	79.655391061512	827.402340889645
14846000	1685.39572271953	18229.8492448072	108.978865054147	771.239293309694	79.8075107093877	851.046804019082
14960200	1911.5661798094	18727.0400015125	127.374492297372	792.780333076558	79.9803895424927	872.760722619051
15074400	2663.42475144947	19371.0838078431	153.370537750101	806.483382940452	80.1693487384749	886.652731678927
15188600	4709.02787567845	20048.5629465151	192.450903032609	812.69379117098	80.3671095743899	893.06090074537
15302800	8625.06727537201	20567.6692273729	114.653894322491	697.916404920447	80.5130798609549	778.429484781402
15417000	7204.13019916691	20415.1591182586	80.6153876058162	636.256946322329	80.5753717943355	716.832318116665
15531200	5489.73901871887	20913.9047104275	69.5316925358287	625.975294313932	80.6035405243666	706.578834838299
15645400	5392.52757549581	23768.555045889	70.2898421720676	662.14175705191	80.6438271467253	742.785584198635
15759600	1760.54642355335	17496.5850436941	79.2913209298515	691.12879940145	80.7147128052402	771.843512206691
15873800	1584.44332988725	17923.0209708124	90.4765552046341	715.112498145162	80.8103569432386	795.922855088401
15988000	1700.68697496683	18344.8040625715	105.497418016509	739.596351669717	80.9285587515771	820.524910421294
16102200	2086.00460223886	18931.195820036	125.381269351156	755.407032511957	81.0653961081926	836.47242862015
16216400	3426.47678867998	19593.4763374934	155.805044782466	767.915101267458	81.215163357299	849.130264624757
16330600	8181.39352435291	20336.5218379714	90.5495470122969	648.971184288927	81.3142908641367	730.285475153063
16444800	7152.56042364375	20358.4307659368	62.7455352990221	587.810503255347	81.3281606253683	669.138663880715
16559000	5383.84526920575	20853.3200516985	55.7011209864072	577.576979599235	81.3083197276144	658.885299326849
16673200	3243.83845522861	19864.0377027312	59.9352731747776	610.549452482836	81.2992657712626	691.848718254098
16787400	1489.04409822677	17387.1561331623	67.4034827203115	640.522858914817	81.3199230971791	721.842782011996
16901600	1348.15553718394	17599.9872106046	77.0391347802993	668.153659769211	81.3676802143695	749.521339983581
17015800	1477.63735170095	18083.4169527601	89.4623713286325	692.080796816202	81.4396023665584	773.52039918276
17130000	1782.24397070336	18610.8747271299	106.246772431093	714.415894545694	81.5331175775368	795.94901212323
17244200	2532.53121331494	19180.2586126341	129.920680155442	728.007213019326	81.643286379092	809.650499398418
17358400	7932.36402291604	20110.4590347071	73.7858285556144	608.734287253175	81.7032874055937	690.437574658769
17472600	7008.93320743015	20271.7086578824	50.8233480439258	544.535686828387	81.6765673969027	626.212254225289
17586800	5321.18567449415	20841.847551254	47.2619281876908	536.683818256599	81.6159560337981	618.299774290397
17701000	2029.20185942581	17871.529613521	52.8364566909547	570.547325644823	81.5678032542276	652.115128899051
17815200	1299.19339761435	17322.3806539068	59.4468695510449	603.544850386	81.5513287676535	685.096179153654
17929400	1160.85230935429	17484.3545627194	67.8809526171708	631.583161071321	81.5636870980621	713.146848169383
18043600	1281.7329253762	17844.9027155357	78.6630395443349	656.841477923903	81.6011398227919	738.442617746695
18157800	1545.41703611605	18317.1245730726	93.1945398941754	681.44592085257	81.6619901857399	763.10791103831
18272000	2105.17373101293	18862.2525104533	113.105326952889	699.071099028179	81.7425671585073	780.813666186686
18386200	3601.08812239585	19510.1514041381	143.121860202188	709.037738448244	81.8359075221097	790.873645970354
18500400	7493.16665404518	19975.4221735821	82.8969544777566	603.178996436033	81.8837454476647	685.062741883698
18614600	6408.40402428022	20171.3976876428	57.6636207368092	551.249303722633	81.8570153891886	633.106319111821
18728800	4821.26199465134	20740.9396936475	51.8232255369455	551.859404960768	81.8061702730625	633.66557523383
18843000	2896.86521864121	19865.5965364134	55.9923470762953	587.502830329497	81.7725816878924	669.275412017389
18957200	1359.98778942171	17293.2122018285	63.5858007961751	616.747927142284	81.7696958439807	698.517622986265
19071400	1305.28395165877	17611.8839328382	73.3662205507787	642.799994560165	81.792894838561	724.592889398726
19185600	1489.66805972379	18088.18828396	86.3240148413658	667.82039722006	81.8401061225832	749.660503342644
19299800	1893.32822358512	18608.1311318844	104.011659263178	688.068970591883	81.9085193318314	769.977489923715
19414000	2917.0862739958	19166.7472017618	129.655904655154	700.226126001268	81.9920038023634	782.218129803632
19528200	7561.40167222157	20032.7530178245	73.8990947503435	589.135299180321	82.0285806782946	671.163879858616
19642400	6589.58655550417	20240.1058814764	51.0913323718217	534.124767557073	81.9867041582326	616.111471715306
19756600	4956.47818655438	20733.1992578278	47.1406811697159	532.953102553023	81.9184672567528	614.871569809776
19870799.9999999	2194.49288601313	18311.1070954815	52.2370590134378	567.131545849331	81.8660103474673	648.997556196799
19984999.9999999	1280.14295659416	17153.7711252282	59.16208190654	597.762877616258	81.8442772460162	679.607154862274
20099199.9999999	1200.52978192984	17407.3039694571	68.025293717739	624.695589766139	81.8497560335738	706.545345799713
20213399.9999999	1348.81262963692	17805.4059471564	79.6330598499724	650.412493241807	81.8800454961008	732.292538737908
20327599.9999999	1687.4125268777	18321.8391033447	95.3727651501372	673.645843615921	81.9333248296769	755.579168445598
20441799.9999999	2394.36175502488	18819.4016592016	117.468522798578	688.614601519035	82.0044553573384	770.619056876373
20555999.9999999	7556.44229078476	19891.2282358352	65.7734256076593	573.754820765317	82.0282629812265	655.783083746543
20670199.9999999	6655.04286641687	20079.3435677209	45.4460456502529	514.485905950926	81.9698711680409	596.455777118966
20784399.9999999	6000.50456428339	22126.995778882	43.2467189745611	509.571700732617	81.881397992382	591.453098724999
20898599.9999999	1575.29743742949	17027.4264236972	49.0407710016465	547.592711091991	81.8088164984365	629.401527590428
21012799.9999999	1196.52796977104	17124.9905624177	55.480614347047	580.364833591094	81.7698421946947	662.134675785788
21126999.9999999	1094.14118705516	17233.7997230396	63.5933610089042	608.735396990343	81.7598203427807	690.495217333124
21241199.9999999	1237.85154179318	17567.5531816926	74.1301236159882	634.916792097127	81.7755539735873	716.692346070714
21355399.9999999	1517.26669300712	18058.2221248653	88.2842404000211	659.74884678177	81.8152951073584	741.564141889128
21469599.9999999	2096.79109539945	18550.1433221904	107.856933686744	677.263856623454	81.8748834326531	759.138740056107
21583799.9999999	3580.94952807683	19109.65381726	137.252758189988	688.393154632524	81.9477961522617	770.340950784786
21697999.9999999	7282.91976000685	19846.2775592885	79.214421792822	584.703042125156	81.9768375144026	666.679879639558
21812199.9999999	6235.55843775376	20071.9732001491	55.2329925156038	538.040251000651	81.9348775644305	619.975128565081
21926399.9999999	4645.89029014879	20623.3909753999	49.9461583469615	541.031541366221	81.8724571994512	622.903998565672
22040599.9999999	2715.02107999251	19484.676114198	54.3659830878354	577.451159457534	81.8288182365492	659.279977694084
22154799.9999999	1316.40440452378	17080.0659332678	61.8017323333296	605.46652070644	81.8156989080177	687.282219614458
22268999.9999999	1276.53644152041	17340.7708237796	71.7103252720184	632.973694079283	81.8288022478457	714.802496327129
22383199.9999999	1471.83413035357	17843.0690019996	84.4626448365577	654.189081416443	81.8648410951992	736.053922511643
22497399.9999999	1897.463040632	18245.4175339261	102.485596453582	678.564228342287	81.9222674338936	760.48649577618
22611599.9999999	2947.77636296922	18786.0310229316	128.090292335789	690.159164467299	81.9964801235344	772.155644590833
22725799.9999999	7433.12398984303	19915.8475311042	73.1730354154178	582.789314212007	82.0253018079387	664.814616019946
22839999.9999999	6438.68473783393	20104.8177358563	50.623982274419	529.26553889371	81.9781509901484	611.243689883859
22954199.9999999	4893.6766171234	20613.5819971639	46.8553859300722	530.425301017914	81.9064571766313	612.331758194546
23068399.9999999	2180.32201335799	18234.5799559207	51.845177566085	563.423236185823	81.8510965571462	645.274332742969
23182599.9999999	1277.00588266827	16970.2435363658	58.9135949977014	595.364131151294	81.8265296832378	677.190660834532
23296799.9999999	1206.06384410664	17206.8767520317	67.8231245797651	621.262555568239	81.8293132009556	703.091868769194
23410999.9999999	1368.1352572159	17600.7209041544	79.6504077164743	647.886127354243	81.8568554696995	729.742982823942
23525199.9999999	1723.49397428123	18099.7240211287	95.6158580392846	670.520243401236	81.9075411142419	752.427784515478
23639399.9999999	2461.66529126676	18505.6570663022	118.176095117249	685.520755407251	81.9758182142516	767.496573621502
23753599.9999999	7523.75742667377	19866.2739345644	66.3546084211052	571.980111403431	81.9974178038111	653.977529207242
23867799.9999999	6604.28728647209	20092.7642051454	45.8542102056129	514.860623656945	81.9384610600525	596.799084716998
23981999.9999999	6138.38179526887	22359.0424183864	43.4292995314706	510.93954267482	81.8509067117239	592.790449386544
24096199.9999999	1575.63780840082	16969.6197639104	49.2067177602996	548.249443825033	81.7793739533609	630.028817778394
24210399.9999999	1190.5327515748	17008.9523998128	55.7607788120605	581.237059553748	81.7412115547023	662.97827110845
24324599.9999999	1105.32625278842	17150.8193688217	63.9587501048551	609.406677557608	81.7320059761447	691.138683533753
24438799.9999999	1247.53654977632	17461.6291419435	74.7610924155067	635.346970396346	81.7483449075245	717.095315303871
24552999.9999999	1544.41695093589	18000.5767341023	89.1304421225684	660.175083840811	81.7885738998702	741.963657740682
24667199.9999999	2142.78187628082	18428.5585121883	109.253863513398	678.211327293947	81.84889245761	760.060219751557
24781399.9999999	7581.12704223895	19722.9036622084	60.071589747671	560.763836336236	81.8621458460044	642.62598218224
24895599.9999999	6712.45674987475	19942.8899131286	41.7674104715642	499.487762387479	81.7910659053389	581.278828292818
25009799.9999999	5012.50665196544	20491.6162636545	41.2214243409485	495.23359392973	81.6893101718328	576.922904101563
25123999.9999999	1496.69729154841	16865.9782450538	47.0807947294086	534.78623083888	81.6045219923577	616.390752831238
25238199.9999999	1163.93835113599	16944.961612487	53.2340860899689	569.470847206844	81.555002978109	651.025850184953
25352399.9999999	1042.06433027967	16965.3941737294	60.9184135100381	598.740875524457	81.5357949630981	680.276670487555
25466599.9999999	1163.53335681176	17242.0511319835	70.7650545881273	625.675157804591	81.5431499285896	707.21830773318
25580799.9999999	1403.98426664718	17632.8491799765	83.8897148873866	651.355976555572	81.575293383632	732.931269939204
25694999.9999999	1904.07381579463	18146.1550210332	101.906415511409	672.343696947325	81.6293448400881	753.973041787413
25809199.9999999	3030.30724678118	18583.9383832911	128.168275863193	684.525149506886	81.6988713403892	766.224020847275
25923399.9999999	7322.74833664088	19770.3667764237	73.1914272891362	578.932997537892	81.7241353417847	660.657132879677
26037599.9999999	6326.82826622294	20010.760676131	50.7991655770705	527.244465407379	81.675142286566	608.919607693945
26151799.9999999	4765.85076592152	20550.7660745712	47.0131321895168	529.962540840911	81.6032128739633	611.565753714875
26265999.9999999	2153.63216697569	18255.3202298026	52.0613618758775	564.475962152472	81.5490672845978	646.025029437069
26380199.9999999	1240.84416860659	16926.0653277682	59.2496010017183	595.478855864279	81.5259840936365	677.004839957915
26494399.9999999	1189.71028914534	17162.0711384342	68.35762793191	622.583178013061	81.5303731399081	704.113551152969
26608599.9999999	1364.22856213198	17570.9464286718	80.446179487807	648.71565497354	81.5598529676297	730.275507941169
26722799.9999998	1725.61235421365	18075.3489880269	96.6910362424549	671.504888126798	81.6123114269728	753.117199553771
26836999.9999998	2500.9815395288	18484.3235662655	119.792950347534	686.633568711791	81.6824890621389	768.31605777393
26951199.9999998	7499.90444519577	19826.565236021	67.4706763097442	573.821450468782	81.7063874317198	655.527837900502
27065399.9999998	6585.45011180701	20043.6216934552	46.716047128071	517.700159634001	81.6505367486934	599.350696382694
27179599.9999998	6320.11079480292	22622.1636112401	43.9739922596304	513.850836866048	81.5665836274423	595.41742049349
27293799.9999998	1592.62958048228	16892.7782348176	49.8795587910055	552.028071763145	81.4990842050806	633.527155968226
27407999.9999998	1201.06577341819	16963.5188279829	56.5303423237321	584.514594025106	81.4651156337068	665.979709658813
27522199.9999998	1119.58964258648	17120.0282966073	64.9169154090978	612.360723239767	81.4597022479422	693.820425487709
27636399.9999998	1265.15279059771	17425.4366475035	75.9202821603871	639.381543434113	81.4801786090583	720.861722043171
27750599.9999998	1569.56631054987	17974.5970801585	90.5556758745889	663.382550247015	81.5246516330802	744.907201880095
27864799.9999998	2182.20715819174	18386.1074534973	111.136602579667	682.039354160606	81.5891033009584	763.628457461564
27978999.9999998	7592.76349011113	19742.6572223164	61.3290887979271	563.830215113604	81.606411138392	645.436626251996
28093199.9999998	6747.90860504401	19976.8947440725	42.6714646417336	503.810374745661	81.539606293739	585.3499810394
28207399.9999998	5204.66021559626	20786.8075916491	41.7606231087342	498.784970658885	81.4423410993821	580.227311758267
28321599.9999998	1524.69143622738	16890.3268731435	47.828272652168	539.067901874275	81.3620107204738	620.429912594748
28435799.9999998	1163.92402661718	16948.3020917771	53.9305197832979	572.708465945405	81.3167880033425	654.025253948747
28549999.9999998	1055.25322813528	16958.2177527218	61.9278692754302	603.147736463664	81.3019223352608	684.449658798925
28664199.9999998	1168.81799547252	17272.0723448241	71.8141153691652	627.600614892057	81.3129874665857	708.913602358643
28778399.9999998	1421.67160323402	17622.5501710371	85.3177812848615	656.103869673589	81.3489901457194	737.452859819309
28892599.9999998	1914.8721684517	18172.1309810147	103.499377292655	675.501329531702	81.407470011702	756.908799543404
29006799.9999998	3087.27808582565	18612.1456950413	130.364297083539	689.304531440669	81.4814254619019	770.785956902571
29120999.9999998	7342.79995429619	19678.9780212635	74.6102688242225	582.975416099011	81.511522751887	664.486938850898
29235199.9999998	6364.13591147303	19915.4113726431	51.8530614827718	532.156106077377	81.4674100721933	613.62351614957
29349399.9999998	4775.48815717391	20454.5885011408	47.8089102282101	533.980516341889	81.4003341825147	615.380850524404
29463599.9999998	2252.14754696831	18311.9747265602	52.8396147679612	568.785007547415	81.3507431183356	650.13575066575
29577799.9999998	1260.26555548477	16858.9256203488	60.1279112984767	599.295995214923	81.3321058153304	680.628101030253
29691999.9999998	1209.04499694751	17080.6071651231	69.3620019701828	627.166243528315	81.3410562713091	708.507299799624
29806199.9999998	1379.55457201276	17468.3471888115	81.5941905234319	652.92974024354	81.3752705218838	734.305010765424
29920399.9999998	1749.27176995185	17968.0258107029	98.0359495342638	675.789666784972	81.4323078872061	757.221974672178
30034599.9999998	2520.48141365633	18332.1380723231	121.43830637003	690.877578145273	81.507064169123	772.384642314396
30148799.9999998	7561.14129852865	19837.0242052643	68.5359543436046	577.945513088899	81.535451867348	659.480964956247
30262999.9999998	6626.54964815272	20024.1460775928	47.4883606590745	521.64976392968	81.4839374298446	603.133701359524
30377199.9999998	6478.62003714134	22782.8646836146	44.4825620602431	516.792477165666	81.4037493651552	598.196226530822
