"Time [ms]"	"BEMF [V]"
0.1142	0.75282052546947
0.2284	482.744572647358
0.3426	467.156807459377
0.4568	450.959840710593
0.571	433.341523055248
0.6852	413.710636500949
0.7994	391.863169878057
0.9136	367.228118072411
1.0278	337.267169537184
1.142	296.815563940623
1.2562	247.377518247194
1.3704	577.198670478413
1.4846	539.0629726488
1.5988	507.654318866909
1.713	485.187618864878
1.8272	466.787424850351
1.9414	450.95762278426
2.0556	436.825875146699
2.1698	423.676381021639
2.284	410.964170712095
2.3982	368.465425383584
2.5124	280.28982482531
2.6266	259.050899565003
2.7408	231.914561083184
2.855	201.020645692146
2.9692	171.320623362469
3.0834	143.176396339272
3.1976	116.676567783173
3.3118	94.4917809784576
3.426	76.8271231403242
3.5402	63.017157889505
3.6544	52.0053261507232
3.7686	44.156171324902
3.8828	38.2952691857319
3.997	34.1563129390311
4.1112	36.2385023337028
4.2254	40.8881713669566
4.3396	48.5670209215455
4.4538	56.1874018991473
4.568	64.70515300147
4.6822	74.0557351364459
4.7964	81.0412104062853
4.9106	90.435404595624
5.0248	98.2010129543789
5.139	106.33287719704
5.2532	653.279307643651
5.3674	591.271012213179
5.4816	542.826964975296
5.5958	506.074585358056
5.71	481.809763020453
5.8242	464.694909134161
5.9384	451.945848209513
6.0526	440.728373243577
6.1668	430.542327233228
6.281	420.800947462755
6.3952	409.033447904538
6.5094	393.625389439938
6.6236	352.945761808153
6.7378	273.958701646622
6.852	229.439437022041
6.9662	603.15172797638
7.0804	557.724851829536
7.1946	521.261960208872
7.3088	496.38150296608
7.423	478.769456596438
7.5372	466.66096082872
7.6514	456.707934481875
7.7656	448.384744127234
7.8798	440.84498898819
7.994	433.386367568181
8.1082	423.797815506083
8.2224	409.704235189187
8.3366	573.031320069932
8.4508	540.468310120347
8.565	514.622077405488
8.6792	496.020278608858
8.79340000000001	483.425824277415
8.90760000000001	473.17166142233
9.02180000000001	464.982861393895
9.13600000000001	458.446245537308
9.25020000000001	452.988522896089
9.36440000000001	447.708227800051
9.47860000000001	442.13238251664
9.59280000000001	549.324341131233
9.70700000000001	523.595286910056
9.82120000000001	505.557050356914
9.93540000000001	492.256841899113
10.0496	481.885402056505
10.1638	473.418140451291
10.278	466.894171621911
10.3922	507.249849950355
10.5064	424.903218889196
10.6206	462.95294004297
10.7348	448.928208536148
10.849	529.288352436344
10.9632	511.049448116731
11.0774	497.299999128777
11.1916	486.603713150223
11.3058	478.280316317365
11.42	471.741634610383
11.5342	484.51543705877
11.6484	425.235301408871
11.7626	459.619174674909
11.8768	495.924126239575
11.991	522.444540526188
12.1052	506.53042439961
12.2194	494.120937543434
12.3336	484.519095532332
12.4478	477.088897950747
12.562	460.547391527869
12.6762	438.094703580114
12.7904	433.327253408061
12.9046	465.078954130994
13.0188	463.224453388386
13.133	520.975278283405
13.2472	506.301738650469
13.3614	494.753906822377
13.4756	485.942342941911
13.5898	479.197609353381
13.704	449.113605361511
13.8182	444.236657962791
13.9324	439.580772059193
14.0466	479.750774171892
14.1608	514.695538053415
14.275	501.0507055506
14.3892	490.000602851719
14.5034	523.630107144768
14.6176	456.795080258703
14.7318	454.175766867172
14.846	451.084177468151
14.9602	447.251245510363
15.0744	457.349003916576
15.1886	495.879093214982
15.3028	514.242849069923
15.417	501.289707445055
15.5312	490.985514399461
15.6454	559.058699124385
15.7596	458.032345748727
15.8738	455.282539426524
