"Time [ns]"	"NodeVoltage(Ivca1) [mV]"	"NodeVoltage(Ivca2) [mV]"	"NodeVoltage(Ivcb1) [mV]"	"NodeVoltage(Ivcb2) [mV]"	"NodeVoltage(Ivcc1) [mV]"	"NodeVoltage(Ivcc2) [mV]"
13361400	1000	-1000	-1000	-1000	-1000	1000
13475600	1000	-1000	-1000	-1000	-1000	1000
13589800	1000	-1000	-1000	-1000	-1000	1000
13704000	1000	-1000	-1000	-1000	-1000	1000
13818200	1000	-1000	-1000	-1000	-1000	1000
13932400	1000	-1000	-1000	-1000	-1000	1000
14046600	-1000	-1000	1000	-1000	-1000	1000
14160800	-1000	-1000	1000	-1000	-1000	1000
14275000	-1000	-1000	1000	-1000	-1000	1000
14389200	-1000	-1000	1000	-1000	-1000	1000
14503400	-1000	-1000	1000	-1000	-1000	1000
14617600	-1000	-1000	1000	-1000	-1000	1000
14731800	-1000	-1000	1000	-1000	-1000	1000
14846000	-1000	-1000	1000	-1000	-1000	1000
14960200	-1000	-1000	1000	-1000	-1000	1000
15074400	-1000	-1000	1000	-1000	-1000	1000
15188600	-1000	1000	1000	-1000	-1000	-1000
15302800	-1000	1000	1000	-1000	-1000	-1000
15417000	-1000	1000	1000	-1000	-1000	-1000
15531200	-1000	1000	1000	-1000	-1000	-1000
15645400	-1000	1000	1000	-1000	-1000	-1000
15759600	-1000	1000	1000	-1000	-1000	-1000
15873800	-1000	1000	1000	-1000	-1000	-1000
15988000	-1000	1000	1000	-1000	-1000	-1000
16102200	-1000	1000	1000	-1000	-1000	-1000
16216400	-1000	1000	-1000	-1000	1000	-1000
16330600	-1000	1000	-1000	-1000	1000	-1000
16444800	-1000	1000	-1000	-1000	1000	-1000
16559000	-1000	1000	-1000	-1000	1000	-1000
16673200	-1000	1000	-1000	-1000	1000	-1000
16787400	-1000	1000	-1000	-1000	1000	-1000
16901600	-1000	1000	-1000	-1000	1000	-1000
17015800	-1000	1000	-1000	-1000	1000	-1000
17130000	-1000	1000	-1000	-1000	1000	-1000
17244200	-1000	-1000	-1000	1000	1000	-1000
17358400	-1000	-1000	-1000	1000	1000	-1000
17472600	-1000	-1000	-1000	1000	1000	-1000
17586800	-1000	-1000	-1000	1000	1000	-1000
17701000	-1000	-1000	-1000	1000	1000	-1000
17815200	-1000	-1000	-1000	1000	1000	-1000
17929400	-1000	-1000	-1000	1000	1000	-1000
18043600	-1000	-1000	-1000	1000	1000	-1000
18157800	-1000	-1000	-1000	1000	1000	-1000
18272000	-1000	-1000	-1000	1000	1000	-1000
18386200	1000	-1000	-1000	1000	-1000	-1000
18500400	1000	-1000	-1000	1000	-1000	-1000
18614600	1000	-1000	-1000	1000	-1000	-1000
18728800	1000	-1000	-1000	1000	-1000	-1000
18843000	1000	-1000	-1000	1000	-1000	-1000
18957200	1000	-1000	-1000	1000	-1000	-1000
19071400	1000	-1000	-1000	1000	-1000	-1000
19185600	1000	-1000	-1000	1000	-1000	-1000
19299800	1000	-1000	-1000	1000	-1000	-1000
19414000	1000	-1000	-1000	-1000	-1000	1000
19528200	1000	-1000	-1000	-1000	-1000	1000
19642400	1000	-1000	-1000	-1000	-1000	1000
19756600	1000	-1000	-1000	-1000	-1000	1000
19870799.9999999	1000	-1000	-1000	-1000	-1000	1000
19984999.9999999	1000	-1000	-1000	-1000	-1000	1000
20099199.9999999	1000	-1000	-1000	-1000	-1000	1000
20213399.9999999	1000	-1000	-1000	-1000	-1000	1000
20327599.9999999	1000	-1000	-1000	-1000	-1000	1000
20441799.9999999	-1000	-1000	1000	-1000	-1000	1000
20555999.9999999	-1000	-1000	1000	-1000	-1000	1000
20670199.9999999	-1000	-1000	1000	-1000	-1000	1000
20784399.9999999	-1000	-1000	1000	-1000	-1000	1000
20898599.9999999	-1000	-1000	1000	-1000	-1000	1000
21012799.9999999	-1000	-1000	1000	-1000	-1000	1000
21126999.9999999	-1000	-1000	1000	-1000	-1000	1000
21241199.9999999	-1000	-1000	1000	-1000	-1000	1000
21355399.9999999	-1000	-1000	1000	-1000	-1000	1000
21469599.9999999	-1000	-1000	1000	-1000	-1000	1000
21583799.9999999	-1000	1000	1000	-1000	-1000	-1000
21697999.9999999	-1000	1000	1000	-1000	-1000	-1000
21812199.9999999	-1000	1000	1000	-1000	-1000	-1000
21926399.9999999	-1000	1000	1000	-1000	-1000	-1000
22040599.9999999	-1000	1000	1000	-1000	-1000	-1000
22154799.9999999	-1000	1000	1000	-1000	-1000	-1000
22268999.9999999	-1000	1000	1000	-1000	-1000	-1000
22383199.9999999	-1000	1000	1000	-1000	-1000	-1000
22497399.9999999	-1000	1000	1000	-1000	-1000	-1000
22611599.9999999	-1000	1000	-1000	-1000	1000	-1000
22725799.9999999	-1000	1000	-1000	-1000	1000	-1000
22839999.9999999	-1000	1000	-1000	-1000	1000	-1000
22954199.9999999	-1000	1000	-1000	-1000	1000	-1000
23068399.9999999	-1000	1000	-1000	-1000	1000	-1000
23182599.9999999	-1000	1000	-1000	-1000	1000	-1000
23296799.9999999	-1000	1000	-1000	-1000	1000	-1000
23410999.9999999	-1000	1000	-1000	-1000	1000	-1000
23525199.9999999	-1000	1000	-1000	-1000	1000	-1000
23639399.9999999	-1000	-1000	-1000	1000	1000	-1000
23753599.9999999	-1000	-1000	-1000	1000	1000	-1000
23867799.9999999	-1000	-1000	-1000	1000	1000	-1000
23981999.9999999	-1000	-1000	-1000	1000	1000	-1000
24096199.9999999	-1000	-1000	-1000	1000	1000	-1000
24210399.9999999	-1000	-1000	-1000	1000	1000	-1000
24324599.9999999	-1000	-1000	-1000	1000	1000	-1000
24438799.9999999	-1000	-1000	-1000	1000	1000	-1000
24552999.9999999	-1000	-1000	-1000	1000	1000	-1000
24667199.9999999	1000	-1000	-1000	1000	-1000	-1000
24781399.9999999	1000	-1000	-1000	1000	-1000	-1000
24895599.9999999	1000	-1000	-1000	1000	-1000	-1000
25009799.9999999	1000	-1000	-1000	1000	-1000	-1000
25123999.9999999	1000	-1000	-1000	1000	-1000	-1000
25238199.9999999	1000	-1000	-1000	1000	-1000	-1000
25352399.9999999	1000	-1000	-1000	1000	-1000	-1000
25466599.9999999	1000	-1000	-1000	1000	-1000	-1000
25580799.9999999	1000	-1000	-1000	1000	-1000	-1000
