"Time [ms]"	"BranchCurrent(Vi_t) [A]"
0.1142	0.000755643478368305
0.2284	0.764335691064473
0.3426	1.52516710311084
0.4568	2.31636956539059
0.571	3.17735389094355
0.6852	4.13691356595529
0.7994	5.20498222679979
0.9136	6.40945727228285
1.0278	7.87444867317646
1.142	9.85253347238023
1.2562	12.270198412811
1.3704	1.40368439832534
1.4846	2.67375549446194
1.5988	3.89632743913509
1.713	4.91944600485196
1.8272	5.83813142607681
1.9414	6.68909788769594
2.0556	7.49323189855019
2.1698	8.27092705037366
2.284	9.04945653861295
2.3982	9.84557528739625
2.5124	10.6606799220184
2.6266	11.6993276676532
2.7408	13.0264054584747
2.855	14.5372766731219
2.9692	15.9897862043644
3.0834	17.3662270748849
3.1976	18.6622604794654
3.3118	19.7472665831702
3.426	20.6112092029578
3.5402	21.2866297737354
3.6544	21.8252005144472
3.7686	22.2090908348037
3.8828	22.4957392361873
3.997	22.6981698836182
4.1112	22.8453440378128
4.2254	22.9591717384214
4.3396	23.0291478232275
4.4538	23.0791092741995
4.568	23.1115382989462
4.6822	23.1241237537444
4.7964	23.1399958056309
4.9106	23.1497480025166
5.0248	23.1611063852114
5.139	23.1748413296576
5.2532	1.12386054977508
5.3674	2.17479412364045
5.4816	3.23768113385478
5.5958	4.24379999562666
5.71	5.04292673491767
5.8242	5.73028646004418
5.9384	6.35162182768746
6.0526	6.97359710589702
6.1668	7.61085056536869
6.281	8.30021276915029
6.3952	9.23238716182899
6.5094	10.5418819907508
6.6236	12.3096985864596
6.7378	14.1118246135812
6.852	16.0298967775917
6.9662	1.07602469165618
7.0804	2.1026219327084
7.1946	3.09346065043545
7.3088	3.88231257563172
7.423	4.53039360901406
7.5372	5.07771138829297
7.6514	5.6000750910095
7.7656	6.12463074551078
7.8798	6.69442524586633
7.994	7.32890203495992
8.1082	8.21441077329082
8.2224	9.54221716054719
8.3366	0.444653423612228
8.4508	1.40229077010375
8.565	2.26175862392532
8.6792	2.93040222033633
8.79340000000001	3.44176478025476
8.90760000000001	3.90346309886597
9.02180000000001	4.33259282468405
9.13600000000001	4.74857495516927
9.25020000000001	5.18299464389861
9.36440000000001	5.71512455355344
9.47860000000001	6.33992376272594
9.59280000000001	0.387087105143606
9.70700000000001	1.21924112945567
9.82120000000001	1.87167926343459
9.93540000000001	2.38546271185454
10.0496	2.80409173294446
10.1638	3.18184490250114
10.278	3.51879057586064
10.3922	3.88038287840692
10.5064	4.20371535011765
10.6206	4.610602800742
10.7348	5.13054775417222
10.849	0.765198147080187
10.9632	1.40882627302232
