"Time [ms]"	"Moving1.Speed [rpm]"
0	0
0.1142	-5.23407780862484
0.2284	-9.46323958150414
0.3426	-11.6996898732501
0.4568	-11.9612453089596
0.571	-10.2357491662851
0.6852	-6.49237629843655
0.7994	-0.740066207668034
0.9136	6.95035324331024
1.0278	16.4810342980304
1.142	27.7445341605889
1.2562	40.5870193971246
1.3704	54.3608541864679
1.4846	68.5298751293152
1.5988	83.1143364855499
1.713	98.1287596972972
1.8272	113.575283497698
1.9414	129.464977909117
2.0556	145.827924835437
2.1698	162.694902863498
2.284	180.075855149885
2.3982	198.009955463301
2.5124	216.70829193395
2.6266	236.393142972179
2.7408	257.111500335531
2.855	278.822966795316
2.9692	301.441292757783
3.0834	324.864382884315
3.1976	348.966762291338
3.3118	373.611072282307
3.426	398.663618732405
3.5402	423.967638051
3.6544	449.414678748137
3.7686	474.900288475599
3.8828	500.31224291281
3.997	525.562914009275
4.1112	550.551153190899
4.2254	575.190617602923
4.3396	599.380972345662
4.4538	623.024428808577
4.568	646.028731307129
4.6822	668.266599624855
4.7964	689.649165495218
4.9106	710.106563183611
5.0248	729.532900803413
5.139	747.820985777865
5.2532	764.563999833911
5.3674	779.651713693957
5.4816	793.516376220546
5.5958	806.553571098018
5.71	819.207706538801
5.8242	831.814970217016
5.9384	844.571189477508
6.0526	857.6421656232
6.1668	871.136710361599
6.281	885.094671298561
6.3952	899.530602120916
6.5094	914.448724270293
6.6236	929.75124743348
6.7378	945.120723278692
6.852	960.129947613132
6.9662	973.993200177944
7.0804	986.321257080606
7.1946	997.48470539004
7.3088	1007.91203180665
7.423	1018.00765193721
7.5372	1028.0161773741
7.6514	1038.12038276683
7.7656	1048.43162235694
7.8798	1058.9551606748
7.994	1069.62635645578
8.1082	1080.35879583769
8.2224	1091.06102986088
8.3366	1101.09868443581
8.4508	1109.95651858617
8.565	1117.85318095392
8.6792	1125.10863051649
8.79340000000001	1132.06382666893
8.90760000000001	1138.99236245148
9.02180000000001	1146.06828813217
9.13600000000001	1153.37495773913
9.25020000000001	1160.8666395957
9.36440000000001	1168.44196375231
9.47860000000001	1175.95839349977
9.59280000000001	1182.84955185194
9.70700000000001	1188.69746897817
9.82120000000001	1193.70817738933
9.93540000000001	1198.24095198523
10.0496	1202.63622728892
10.1638	1207.15901778842
10.278	1211.97690016901
10.3922	1217.18496911725
10.5064	1222.71327849066
10.6206	1228.40667285817
10.7348	1234.08652479825
10.849	1239.13196819511
10.9632	1243.21426541802
11.0774	1246.67129728779
11.1916	1249.89340685735
11.3058	1253.18277756481
11.42	1256.71672565206
11.5342	1260.5969078222
11.6484	1264.75232787094
11.7626	1269.05849518942
11.8768	1273.44486350637
11.991	1277.29519769833
12.1052	1280.22403157865
12.2194	1282.62790159265
12.3336	1284.89268565845
12.4478	1287.29958483827
12.562	1290.00112097125
12.6762	1292.96072177974
12.7904	1296.0717944841
12.9046	1299.3096402894
13.0188	1302.53313527156
13.133	1305.17032457699
13.2472	1306.97404572091
13.3614	1308.3355216451
13.4756	1309.62629368509
13.5898	1311.10592465666
13.704	1312.88881040764
13.8182	1314.91342780588
13.9324	1317.08245820444
14.0466	1319.35504545861
14.1608	1321.15256981806
14.275	1322.13956611546
14.3892	1322.74030274936
14.5034	1323.3500757147
14.6176	1324.18448890056
14.7318	1325.25207951311
14.846	1326.51690741927
14.9602	1327.952879019
15.0744	1329.52064378831
15.1886	1331.15945694631
15.3028	1332.36779688517
15.417	1332.88311513659
15.5312	1333.11607927273
15.6454	1333.44919140746
15.7596	1334.03511140452
15.8738	1334.82527008824
15.988	1335.80114194967
16.1022	1336.92997890867
16.2164	1338.16438927567
16.3306	1338.98079130305
16.4448	1339.09498126777
16.559	1338.93162784234
16.6732	1338.85707848472
16.7874	1339.02716274152
16.9016	1339.42029328496
17.0158	1340.01212969686
17.13	1340.78126142726
17.2442	1341.68679776034
17.3584	1342.1797213272
17.4726	1341.9602320779
17.5868	1341.46221203906
17.701	1341.06642751476
17.8152	1340.93099113146
17.9294	1341.0325899694
18.0436	1341.34044486103
18.1578	1341.84047367467
18.272	1342.50231638138
18.3862	1343.26858729079
18.5004	1343.66113987893
18.6146	1343.44181019248
18.7288	1343.0245089689
18.843	1342.74876617142
18.9572	1342.72507242554
19.0714	1342.91553212015
19.1856	1343.30304512208
19.2998	1343.86438649303
19.414	1344.54907249787
19.5282	1344.84894272168
19.6424	1344.50561858519
19.7566	1343.94599128972
19.8707999999999	1343.51562103827
19.9849999999999	1343.33727657463
20.0991999999999	1343.38223840115
20.2133999999999	1343.63078258842
20.3275999999999	1344.06786167458
20.4417999999999	1344.65116227707
20.5559999999999	1344.84633841611
20.6701999999999	1344.36758881616
20.7843999999999	1343.64187960309
20.8985999999999	1343.04623053821
21.0127999999999	1342.72627402402
21.1269999999999	1342.64398808669
21.2411999999999	1342.77316919625
21.3553999999999	1343.09940878602
21.4695999999999	1343.58842784479
21.5837999999999	1344.18655318911
21.6979999999999	1344.42471426454
21.8121999999999	1344.08059746308
21.9263999999999	1343.56852013398
22.0405999999999	1343.21040365764
22.1547999999999	1343.10272322592
22.2689999999999	1343.21027243129
22.3831999999999	1343.50602661508
22.4973999999999	1343.97716358686
22.6115999999999	1344.58577456061
22.7257999999999	1344.82206410595
22.8399999999999	1344.4354847592
22.9541999999999	1343.84746960576
23.0683999999999	1343.39323921698
23.1825999999999	1343.19162035991
23.2967999999999	1343.21446604268
23.4109999999999	1343.44049788814
23.5251999999999	1343.85636171297
23.6393999999999	1344.41635594885
23.7535999999999	1344.59346262206
23.8677999999999	1344.1099894291
23.9819999999999	1343.39168128303
24.0961999999999	1342.80453129774
24.2103999999999	1342.49118442861
24.3245999999999	1342.41558757977
24.4387999999999	1342.54976108889
24.5529999999999	1342.88006001509
24.6671999999999	1343.37515154025
24.7813999999999	1343.48391020165
24.8955999999999	1342.9005178786
25.0097999999999	1342.06491100127
25.1239999999999	1341.36824222902
25.2381999999999	1340.96119791809
25.3523999999999	1340.80327554267
25.4665999999999	1340.86374799802
25.5807999999999	1341.12799917721
25.6949999999999	1341.5722385709
25.8091999999999	1342.14344840939
25.9233999999999	1342.3509500091
26.0375999999999	1341.94852462128
26.1517999999999	1341.35748291789
26.2659999999999	1340.91239846237
26.3801999999999	1340.72260642278
26.4943999999999	1340.75869561829
26.6085999999999	1341.00107009534
26.7227999999998	1341.43225982656
26.8369999999998	1342.00887819195
26.9511999999998	1342.20518390568
27.0653999999998	1341.74637099437
27.1795999999998	1341.05640145923
27.2937999999998	1340.50139925449
27.4079999999998	1340.22201167857
27.5221999999998	1340.17748182531
27.6363999999998	1340.34591009739
27.7505999999998	1340.71164999392
27.8647999999998	1341.24151444783
27.9789999999998	1341.38376848766
28.0931999999998	1340.83461260692
28.2073999999998	1340.03466114497
28.3215999999998	1339.37362876509
