"Time [ns]"	"NodeVoltage(Ie_a) [mV]"	"NodeVoltage(Ie_b) [mV]"	"NodeVoltage(Ie_c) [mV]"	"NodeVoltage(Iv_a) [mV]"	"NodeVoltage(Iv_b) [mV]"	"NodeVoltage(Iv_c) [mV]"
7423000	-275936.046866351	202833.409730087	-177738.535134206	-250857.308693981	249118.578151373	-249102.441727863
7537200	-269425.177141504	197235.783687216	-178648.690463273	-250849.65661501	249114.539927971	-249102.967230522
7651400	-264814.280849934	191893.653631941	-177912.601394514	-250841.61744568	249110.967038331	-249102.578205159
7765600	-261855.413529577	186529.330597657	-175503.108738704	-250835.547745382	249107.602904165	-249101.246829408
7879800	-260142.39875034	180702.59023785	-171386.1956078	-250831.131067247	249104.162441916	-249099.035494958
7994000	-259171.740660519	174214.626907662	-165866.671258833	-250828.151317467	249100.551993701	-249096.185687924
8108200	-258637.821150889	165159.994355194	-157344.725886194	-250826.383176278	249095.818857401	-249091.988363011
8222400	-258120.970741364	151583.264447823	-144283.581814158	-250824.576943337	249089.270376026	-249085.981540387
8336600	-246134.825412771	168557.803148048	326896.494657161	-250663.71294899	249096.840970188	250886.34437124
8450800	-234839.065900768	180035.418819536	305629.244219579	-249155.022716813	249103.711391087	250876.908464073
8565000	-226041.356380736	188295.403277318	288580.721024752	-249141.07485611	249108.65813201	250867.184645434
8679200	-219199.756399907	193215.989281793	276820.522208951	-249133.012576525	249111.787397856	250857.980269506
8793400.00000001	-213968.468259424	195346.130507478	269457.356017991	-249127.849922909	249113.216383366	250849.651805587
8907600.00000001	-209245.752247334	196149.870018199	263925.909174996	-249123.690864402	249113.788522577	250839.929287685
9021800.00000001	-204856.491993857	195554.694127448	260126.369400038	-249120.136538468	249113.382230921	250831.325841175
9136000.00000001	-200601.952566985	193577.079890072	257844.292970323	-249116.934604425	249112.059339906	250824.29555793
9250200.00000001	-196159.050518969	190145.879806699	256829.47237712	-249113.80187208	249109.839176931	250820.264359999
9364400.00000001	-190717.087325472	184542.966366599	256991.140474579	-249110.206422069	249106.39057653	250820.835361245
9478600.00000001	-184327.708256621	177342.587170437	257804.674260019	-249106.275325957	249102.259358788	250823.569141003
9592800.00000001	-193516.067674272	-302531.151671511	246793.189459722	-249111.721542502	-250876.056794461	250733.748450902
9707000.00000001	-200656.183717482	-286881.617276393	236713.669633663	-249116.95604334	-250866.034375092	249158.859058221
9821200.00000001	-205340.36808185	-275523.477410509	230033.572946405	-249120.479020119	-250856.473814085	249146.68028825
9935400.00000001	-208123.817423716	-267481.385465795	224775.456433318	-249122.730646621	-250846.446582673	249139.4307731
10049600	-209923.154599108	-261393.33177265	220492.070283855	-249124.25975049	-250834.58971477	249134.433377357
10163800	-210651.460176951	-256790.721706537	216627.418744754	-249124.884111173	-250820.298441182	249130.419413621
10278000	-210272.382412142	-253713.614297487	213180.557324424	-249124.555735227	-250808.026588878	249127.142938899
10392200	-209476.168556438	-297767.533557811	209482.316392544	-249123.885531161	-297761.390933154	249123.89074261
10506400	-206169.800607833	-218728.899791806	206174.31909739	-249121.163556235	-218724.384911237	249121.167165223
10620600	-202007.775661526	-260939.774635474	202013.165407496	-249117.963588254	-260934.388904243	249117.967602994
10734800	-195370.474820425	-252232.790344232	196695.418191916	-249113.236384385	-250908.771968056	249114.161379701
10849000	287957.950946085	-241330.401490259	204224.23555875	250867.693126205	-249135.271836426	249119.363724798
10963200	276277.434914016	-234772.013202715	209320.913470157	250857.38544818	-249154.762856335	249123.712589613
11077400	267807.610779122	-229492.388349655	212512.266245399	250846.879420012	-249145.896415421	249126.505670275
11191600	261430.779262863	-225172.93388736	214565.377172006	250834.755966809	-249139.950083105	249128.416663805
11305800	256703.38631521	-221576.930002155	215687.628390288	250820.239773873	-249135.646725435	249129.491654904
11420000	253343.95201463	-218397.682595753	215856.118347168	250804.945108256	-249132.211206898	249129.653864687
11534200	269182.147632292	-215333.289426478	215327.728145343	269176.591678098	-249129.158271217	249129.152944275
11648400	207736.913757245	-212619.796662604	212615.504746267	207732.62575463	-249126.626074542	249126.62216082
11762600	250470.749649121	-209148.425025788	209143.250940779	250465.579864126	-249123.604269513	249123.5999695
11876800	291256.795054578	-204667.331184997	204661.738113891	291251.206291173	-249119.981522966	249119.977215265
11991000	241288.81237745	-210957.26883693	-281155.728148738	249163.019081325	-249124.947461738	-250862.256227804
12105200	235481.53985782	-215256.9007337	-271048.88454179	249156.274238025	-249129.046493962	-250851.473161733
12219400	230697.615366518	-218097.591581125	-263423.322176916	249147.777481621	-249131.877429448	-250839.198443696
12333600	226827.353159474	-219951.515270338	-257691.742372858	249142.118557173	-249133.842568611	-250824.180472284
12447800	223587.485319432	-220890.912583097	-253501.412631315	249137.995936009	-249134.871390083	-250807.964440906
12562000	220872.449537778	-220867.496974979	-239674.941990091	249134.862774103	-249134.857356864	-239669.99484453
12676200	219048.970788117	-219045.732791997	-156697.577235093	249132.889844901	-249132.886355724	-156694.34272815
12790400	216665.779082776	-216661.474325285	-208342.538762213	249130.453992906	-249130.449682639	-208338.238314989
12904600	213450.532231827	-213445.333738692	-251628.421899167	249127.383006368	-249127.378184028	-251623.228228372
13018800	209503.550182319	-208430.897408778	-253720.903206067	249123.904202678	-249122.981034716	-252649.173600489
13133000	215326.7526481	278240.003085293	-242735.275198112	249128.937699975	250859.713137547	-249157.170302241
13247200	219241.224174883	268940.984944622	-237360.753705847	249133.04829966	250848.783024673	-249160.375910675
13361400	221866.131458162	261854.01371457	-232899.893107807	249135.956060376	250835.78148368	-249151.485479132
13475600	223508.611201886	256623.166080586	-229319.176861325	249137.889165659	250820.369433063	-249145.658177574
13589800	224257.48520736	252875.530767787	-226322.078585594	249138.802479294	250813.586593774	-249141.451683514
13704000	223899.221970884	225209.729055294	-223903.876306217	249138.377660354	225205.080448372	-249138.383388765
13818200	222116.539247208	173208.281983627	-222120.118715583	249136.265873685	173204.706684337	-249136.270042771
13932400	219788.150104459	216414.282384666	-219792.621954734	249133.674371001	216409.815362945	-249133.679199554
14046600	216649.696546637	263095.641886562	-216655.13228533	249130.432968052	263090.211645563	-249130.438465746
14160800	-272049.63062351	242645.907429905	-221411.091849095	-250852.823170916	249173.332518082	-249135.324389865
14275000	-263475.03886697	237575.66668363	-224918.631815783	-250839.419559362	249161.028815581	-249139.613255341
14389200	-256683.590022498	233317.012829221	-227444.47734873	-250820.342586028	249152.2436346	-249142.955590579
14503400	-294120.948344752	229509.158800016	-229503.078970507	-294114.877693995	249145.962267875	-249145.953089123
14617600	-59701.8579772049	228398.157172034	-228396.923086669	-59700.6256419795	249144.323301016	-249144.321550876
14731800	-101827.552592404	227088.935829634	-227086.831037538	-101825.450690656	249142.488327219	-249142.485436873
14846000	-147447.929381982	225543.612498413	-225540.564969738	-147444.885815837	249140.437976944	-249140.434014413
14960200	-191705.138669928	223627.603671876	-223623.641838487	-191701.181617203	249138.046510329	-249138.041729664
15074400	-236206.46908019	221142.534836386	-221137.653887784	-236201.593607576	249135.15791579	-249135.152439802
15188600	-278104.256124584	217774.837090398	-217769.091829095	-278098.516753504	249131.560670578	-249131.554780354
15302800	-242923.998832753	222419.361363808	271318.85023717	-249174.205555655	249136.467330563	250851.950993317
15417000	-238094.305850518	225716.148091028	263195.401594537	-249162.304305854	249140.624906235	250838.923234667
15531200	-234090.082474006	228005.950436835	256895.431925455	-249153.681814763	249143.738863418	250821.24283963
15645400	-230198.335960314	230191.545656266	328860.363164071	-249147.018786526	249147.008198383	328853.583448166
15759600	-229017.061819942	229015.283928785	85999.8266856538	-249145.224070836	249145.221364193	85998.0515011399
15873800	-227642.611098542	227639.928327982	129784.575893513	-249143.252722767	249143.248926464	129781.896919256
15988000	-225924.368447757	225920.786868281	173284.435067308	-249140.930448899	249140.925717608	173280.858219124
16102200	-223828.513345762	223824.023806014	217243.112517759	-249138.289599091	249138.284187622	217238.62838948
16216400	-220921.208934666	220915.847680613	259464.767739462	-249134.905203363	249134.899256723	259459.412432049
16330600	-225255.457108382	-268694.567095816	243138.298423521	-249139.935929495	-250848.351159586	249176.561308404
16444800	-228476.730506663	-260652.038848672	238314.203581348	-249144.405922988	-250833.060385432	249162.900534432
16559000	-230761.849545101	-254428.619536475	234384.652537613	-249147.878130038	-250812.180617474	249154.242203549
16673200	-231646.742157271	-199707.247806394	231650.871370056	-249149.352808147	-199703.125526143	249149.35974068
16787400	-230588.04460713	-68980.3453207557	230589.470797776	-249147.630305575	-68978.9214406649	249147.63261613
16901600	-229303.395765284	-110160.882526506	229305.673095957	-249145.6510085	-110158.608612591	249145.654425259
17015800	-227760.655859199	-158052.678124307	227763.922926531	-249143.416841351	-158049.415665627	249143.421450004
17130000	-225838.084927629	-200281.217670253	225842.224397232	-249140.817059846	-200277.083614519	249140.822473715
17244200	-223369.076121076	-242487.258752473	223374.087231248	-249137.731971159	-242482.253688291	249137.73801715
17358400	266574.532568119	-243204.637257695	227440.387322814	250845.029671549	-249177.610979729	249142.863941418
17472600	258611.867534781	-238417.915382016	230617.825809561	250827.295261132	-249163.171197026	249147.65389822
17586800	253873.325003418	-234472.307838112	232875.324182989	252279.324266683	-249154.41675541	249151.433837022
17701000	87166.9357332013	-232720.592538071	232718.790084631	87165.1364504675	-249151.195909597	249151.192738891
17815200	50669.5938299611	-231720.900803117	231719.853137122	50668.5479158797	-249149.477151129	249149.475399215
17929400	94634.4798024034	-230524.013600947	230522.057076505	94632.5263766724	-249147.527888155	249147.524789445
18043600	141736.92710481	-229097.66460045	229094.734568123	141734.001419002	-249145.344523555	249145.340177037
18157800	185943.136749503	-227322.165535218	227318.322077962	185939.29862337	-249142.805621133	249142.800290011
18272000	228022.686723996	-225101.252334787	225096.539725281	228017.980138939	-249139.868326281	249139.862301831
18386200	268836.35594181	-222095.472921093	222089.918014062	268830.807436265	-249136.23176856	249136.225367074
18500400	243309.384388992	-226262.92227396	-267857.663315835	249177.177174228	-249141.246290691	-250847.132084339
18614600	238666.718399838	-229336.236143841	-260144.138165211	249163.810198074	-249145.667998135	-250831.798109152
18728800	234873.799110832	-231432.449658483	-254247.00790044	249155.207532635	-249148.961763396	-250811.904217329
18843000	232237.389472547	-232233.095093083	-207686.249179185	249150.354020928	-249150.346611188	-207681.962209461
18957200	231123.723694824	-231121.987154512	-83989.0805398532	249148.489704439	-249148.486854395	-83987.3468495852
19071400	229785.315561648	-229782.69879519	-126576.929458633	249146.37943474	-249146.375432247	-126574.316694669
19185600	228142.987255345	-228139.410585908	-173028.936527695	249143.956197541	-249143.951104841	-173025.364950958
19299800	226089.085785437	-226084.649348849	-214648.894761123	249141.144806531	-249141.138954329	-214644.464176738
19414000	223400.51851122	-223395.24071179	-255396.031051529	249137.767283886	-249137.760856527	-255390.759679458
19528200	227454.700977192	266673.462762335	-243317.877945609	249142.874671765	250845.229496677	-249177.818374523
19642400	230543.110063859	258912.55837176	-238643.613166383	249147.530509948	250828.282185872	-249163.757426584
19756600	232669.161216841	252982.786363241	-234819.148538379	249151.065689335	250836.832034863	-249155.098682494
19870799.9999999	232811.967325217	131399.418164894	-232814.684477409	249151.357826933	131396.705838163	-249151.362652394
19984999.9999999	231761.538770281	68301.0204241284	-231762.95098028	249149.544728543	68299.6105643714	-249149.547078785
20099199.9999999	230502.054113913	112102.353877494	-230504.371784069	249147.492990188	112100.039888207	-249147.496671057
20213399.9999999	228971.137267398	158813.290098432	-228974.420293174	249145.15666619	158810.011940794	-249145.161534328
20327599.9999999	227064.262829434	201000.488046511	-227068.417347521	249142.451453467	200996.339145707	-249142.45707075
20441799.9999999	224636.490490778	242491.260008567	-224641.501916531	249139.2814835	242486.254865121	-249139.287765807
20555999.9999999	-265514.751781961	243297.917600356	-228592.755250001	-250843.246387106	249178.155291155	-249144.498335655
20670199.9999999	-257727.782689542	238597.872008323	-231680.330585304	-250824.496585395	249163.638631221	-249149.38331235
20784399.9999999	-298964.867784517	234291.423957727	-234285.241430171	-298958.697219077	249154.094807916	-249154.082845799
20898599.9999999	-9602.85038478322	233322.076278795	-233321.877794871	-9602.65226084385	249152.275375388	-249152.275015403
21012799.9999999	-52288.7959491489	232313.390179707	-232312.308993687	-52287.7166115194	249150.485096536	-249150.483248146
21126999.9999999	-96978.5464349303	231122.784676363	-231120.779598984	-96976.5446238277	249148.488177055	-249148.484910778
21241199.9999999	-143995.076638942	229684.800382719	-229681.823582919	-143992.104342557	249146.225760087	-249146.221256671
21355399.9999999	-188074.914518439	227905.681221755	-227901.793602191	-188071.032392812	249143.619093176	-249143.613599239
21469599.9999999	-229610.270459331	225666.400905827	-225661.655395702	-229605.531113839	249140.592188494	-249140.586023861
21583799.9999999	-269845.631707739	222656.435281637	-222650.859396191	-269840.062419975	249136.882523009	-249136.875925326
21697999.9999999	-243379.550802025	226760.266765581	267430.091860429	-249177.580926944	249141.91076677	250846.477984159
21812199.9999999	-238768.707694534	229764.383926048	259817.476180824	-249164.086994857	249146.313374541	250830.926032655
21926399.9999999	-235043.42067752	231804.650181598	254045.042430279	-249155.544836691	249149.581632503	250812.235138545
22040599.9999999	-232485.213331328	232481.069202032	200415.853169544	-249150.783006739	249150.775781265	200411.716265722
22154799.9999999	-231378.862889385	231377.039243905	88199.8481446723	-249148.907813752	249148.904776763	88198.0275361803
22268999.9999999	-230005.424035812	230002.772572569	128251.090652339	-249146.716625545	249146.712482262	128248.443332379
22383199.9999999	-228371.028294451	228367.365414538	177200.730250948	-249144.283207785	249144.278013782	177197.072565037
22497399.9999999	-226259.069246444	226254.613992392	215555.275511453	-249141.367387911	249141.36141802	215550.826227292
22611599.9999999	-223556.615464836	223551.277457405	258313.590435332	-249137.955865856	249137.949428048	258308.25886571
22725799.9999999	-227557.002558393	-266582.489868997	243329.126480185	-249143.02103461	-250845.083222599	249177.738310003
22839999.9999999	-230627.107256789	-258892.590069463	238707.714392041	-249147.665774981	-250828.23453409	249163.917374859
22954199.9999999	-232707.78781654	-252999.309672547	234880.176310921	-249151.13096163	-250831.014989167	249155.224772631
23068399.9999999	-232873.418166862	-136997.431067711	232876.251082134	-249151.467243026	-136994.603188277	249151.472278864
23182599.9999999	-231798.130055244	-70466.6126074022	231799.587083819	-249149.605701802	-70465.158045778	249149.608168753
23296799.9999999	-230529.78657905	-115723.076266286	230532.179105177	-249147.537077198	-115720.687539747	249147.540876786
23410999.9999999	-228968.909032665	-161464.407283081	228972.246888503	-249145.152917088	-161461.07440502	249145.157894865
23525199.9999999	-227036.076920608	-203984.956942553	227040.293201388	-249142.413015311	-203980.746444751	249142.418798289
23639399.9999999	-224562.696868105	-244731.268471486	224567.754514281	-249139.188993397	-244726.217113833	249139.195281919
23753599.9999999	265611.541182707	-243314.643284225	228512.718170329	250843.418004922	-249178.183455129	249144.381519019
23867799.9999999	257851.161820635	-238630.902510171	231590.15096876	250824.90258166	-249163.725153906	249149.23285147
23981999.9999999	307104.187723689	-234260.100085888	234253.74946503	307097.849356578	-249154.034327987	249154.02207424
24096199.9999999	13051.3830249751	-233295.302077202	233295.032244045	13051.113718817	-249152.226662858	249152.226135859
24210399.9999999	55237.3540383758	-232270.887613706	232269.745406093	55236.2138371591	-249150.411670257	249150.409663861
24324599.9999999	100686.862954222	-231071.025000022	231068.943291025	100684.784597505	-249148.404164984	249148.400812705
24438799.9999999	146613.647519575	-229602.046205549	229599.01529913	146610.621173696	-249146.099675052	249146.095114512
24552999.9999999	191384.793911724	-227804.023585805	227800.067524719	191380.843470285	-249143.476329067	249143.470709421
24667199.9999999	231888.962767234	-225514.686237637	225509.893718157	231884.176401811	-249140.395504583	249140.389350525
24781399.9999999	243265.359870858	-229433.862950974	-264640.617814411	249178.29213186	-249145.738586115	-250841.674440272
24895599.9999999	238513.551006267	-232495.937639105	-256826.357795438	249163.422807098	-249150.773825008	-250821.393410365
25009799.9999999	234643.870346166	-234638.700317742	-249976.716111121	249154.782726054	-249154.772515276	-249971.556293474
25123999.9999999	233642.102200145	-233642.159263581	2759.4804904724	249152.864452046	-249152.864485986	2759.4234609758
25238199.9999999	232658.286183657	-232657.453248109	-40281.5139760319	249151.086604125	-249151.085153748	-40280.6824908604
25352399.9999999	231506.50183231	-231504.732210806	-85585.309149179	249149.118470136	-249149.115484876	-85583.5425129362
25466599.9999999	230132.245984746	-230129.515902059	-132052.840208388	249146.913781805	-249146.909493931	-132050.114413576
25580799.9999999	228441.710064451	-228438.047018407	-177205.173375571	249144.383900944	-249144.378629523	-177201.515600948
25694999.9999999	226323.947489648	-226319.421424502	-218983.036380628	249141.454517549	-249141.448484508	-218978.516348522
25809199.9999999	223548.824790061	-223543.471992713	-259034.317262138	249137.944572823	-249137.938181349	-259028.970856264
25923399.9999999	227559.031076154	266597.644930915	-243346.375196685	249143.01697212	250845.121962909	-249177.838124645
26037599.9999999	230592.864313394	258933.2107855	-238714.031324147	249147.608330665	250828.375317448	-249163.939873365
26151799.9999999	232649.695150169	253076.291168075	-234903.220910791	249151.030034519	250827.004047487	-249155.268674553
26265999.9999999	232839.401556918	142437.983401008	-232842.346975301	249151.406669325	142435.043220092	-249151.411906791
26380199.9999999	231748.609325625	73279.7165792611	-231750.124512721	249149.522518961	73278.2039499537	-249149.525076749
26494399.9999999	230456.44304448	117128.665960376	-230458.864627988	249147.42115701	117126.248220855	-249147.425000996
26608599.9999999	228868.210312771	163486.505333984	-228871.589921319	249145.004738597	163483.1307181	-249145.009731261
26722799.9999998	226911.959499168	205703.377221158	-226916.21126109	249142.244386055	205699.131257516	-249142.250184335
26836999.9999998	224394.941567235	245720.391450201	-224400.019599574	249138.980170832	245715.319688668	-249138.986441638
26951199.9999998	-265777.7760351	243322.125316041	-228354.002859617	-250843.706907617	249178.203767449	-249144.150438509
27065399.9999998	-258016.100121688	238619.031988321	-231413.600251436	-250825.428839668	249163.699378071	-249148.938923205
27179599.9999998	-315708.875266761	234166.880605014	-234160.352554105	-315702.359686231	249153.855254812	-249153.842784433
27293799.9999998	-15075.7065595309	233187.081451165	-233186.769795408	-15075.3954744364	249152.029896675	-249152.029326012
27407999.9999998	-56215.7575914938	232154.614602394	-232153.452223569	-56214.5971942981	249150.211864166	-249150.209882536
27522199.9999998	-102318.373404044	230935.910335109	-230933.794854865	-102316.261370294	249148.185545524	-249148.18209903
27636399.9999998	-147716.351333767	229450.882773232	-229447.829032418	-147713.302227239	249145.871486706	-249145.866852421
27750599.9999998	-192450.397148282	227633.843716456	-227629.865714333	-192446.424713183	249143.238019086	-249143.232452062
27864799.9999998	-232455.139610077	225311.712949684	-225306.908791996	-232450.341562817	249140.134766221	-249140.128655793
27978999.9999998	-243268.182671777	229243.578691589	264833.786504016	-249178.29883295	249145.451782037	250842.029574741
28093199.9999998	-238495.491151387	232297.008813675	257007.548409079	-249163.380542833	249150.427727789	250822.018886412
28207399.9999998	-234549.179509358	234543.790772183	260557.699537065	-249154.596467686	249154.585915494	260552.321352082
28321599.9999998	-233519.223625631	233519.295222834	-3461.29266339723	-249152.636283352	249152.636361998	-3461.22114484027
28435799.9999998	-232550.586174784	232549.704145081	42655.7206304147	-249150.897583194	249150.896046684	42654.8401372214
28549999.9999998	-231360.669533391	231358.918441028	84693.3774228596	-249148.876614356	249148.873746854	84691.6291979987
28664199.9999998	-229991.612541549	229988.848395544	133705.936645486	-249146.696865667	249146.692637307	133703.17672784
28778399.9999998	-228265.967266717	228262.314798047	176696.726786588	-249144.130514173	249144.125323986	176693.079508105
28892599.9999998	-226146.057870847	226141.515613532	219770.570429856	-249141.220073308	249141.214103633	219766.034142217
29006799.9999998	-223330.249599328	223324.896008866	259073.967450201	-249137.681312291	249137.674936789	259068.62023524
29120999.9999998	-227362.835377112	-266783.671662785	243336.12022191	-249142.741682864	-250845.428237324	249177.783102201
29235199.9999998	-230394.836318291	-259096.873948515	238679.415257093	-249147.294682949	-250828.851939181	249163.851612416
29349399.9999998	-232458.300232317	-253223.261823249	234865.387178686	-249150.696931462	-250820.66933165	249155.191386232
29463599.9999998	-232717.652952127	-149608.467896713	232720.746647348	-249151.190971093	-149605.379706368	249151.196475969
29577799.9999998	-231619.89451745	-73747.1234823374	231621.419413015	-249149.307201496	-73745.6012048851	249149.309819608
29691999.9999998	-230319.423323192	-117265.822928157	230321.847706029	-249147.205937842	-117263.40235761	249147.209750132
29806199.9999998	-228723.8452018	-163285.06971303	228727.220610772	-249144.793518704	-163281.699255112	249144.798469759
29920399.9999998	-226757.694578979	-205709.363603122	226761.946431947	-249142.03575673	-205705.117515628	249142.041522204
30034599.9999998	-224225.39832804	-245808.972986153	224230.478242974	-249138.770641638	-245803.899396564	249138.776966983
30148799.9999998	265916.150736454	-243303.739407343	228197.371381843	250843.946408657	-249178.089108376	249143.925410674
30262999.9999998	258136.799521553	-238586.1148965	231260.218337693	250825.828967717	-249163.6126217	249148.686616729
30377199.9999998	321145.527132485	-234080.337562906	234073.697572724	321138.899824445	-249153.689959009	249153.677276867
30491399.9999998	14121.9398361254	-233086.793896794	233086.501961339	14121.6484443748	-249151.848565305	249151.8480216
30605599.9999998	56498.6971906995	-232057.802582724	232056.634347971	56497.530953068	-249150.046540109	249150.044542987
